"Agency Name",Sub-Agency/Publisher,"Organization Type",Datasets,"Last Entry"
"Broadcasting Board of Governors",,"Other Federal",6,01/12/2014
"Commodity Futures Trading Commission",,"Other Federal",3,01/12/2014
"Consumer Financial Protection Bureau",,"Other Federal",2,09/26/2015
"Consumer Financial Protection Bureau","Consumer Financial Protection Bureau","Other Federal",2,09/26/2015
"Corporation for National and Community Service",,"Other Federal",3,01/12/2014
"Court Services and Offender Supervision Agency",,"Other Federal",1,01/12/2014
"Department of Agriculture",,"Federal Government",814,11/08/2017
"Department of Agriculture","Agricultural Marketing Service","Federal Government",43,10/09/2017
"Department of Agriculture","Agricultural Marketing Service, Department of Agriculture","Federal Government",42,10/09/2017
"Department of Agriculture","Agricultural Research Service","Federal Government",12,10/09/2017
"Department of Agriculture","Agricultural Research Service, Department of Agriculture","Federal Government",43,10/09/2017
"Department of Agriculture","Animal and Plant Health Inspection Service","Federal Government",1,02/07/2017
"Department of Agriculture","Animal and Plant Health Inspection Service, Department of Agriculture","Federal Government",2,02/07/2017
"Department of Agriculture","Department of Agriculture","Federal Government",8,10/09/2017
"Department of Agriculture","Department of Agriculture, OCIO","Federal Government",2,08/31/2017
"Department of Agriculture","Department/Agency level/No publisher","Federal Government",4,08/31/2017
"Department of Agriculture","Departmental Management, Department of Agriculture","Federal Government",1,02/07/2017
"Department of Agriculture","Economic Research Service, Department of Agriculture","Federal Government",38,10/09/2017
"Department of Agriculture","Economic Research Service, U.S. Department of Agriculture","Federal Government",54,10/09/2017
"Department of Agriculture","Economic Research Service, US Department of Agriculture","Federal Government",1,10/09/2017
"Department of Agriculture","Farm Service Agency","Federal Government",22,11/08/2017
"Department of Agriculture","Farm Service Agency, Department of Agriculture","Federal Government",85,09/21/2017
"Department of Agriculture","Federal Grain Inspection Service","Federal Government",2,08/31/2017
"Department of Agriculture","Food Safety Inspection Service","Federal Government",1,08/31/2017
"Department of Agriculture","Food Safety and Inspection Service","Federal Government",4,08/31/2017
"Department of Agriculture","Food Safety and Inspection Service, Department of Agriculture","Federal Government",1,08/31/2017
"Department of Agriculture","Food Safety and Inspection Service, United States Department of Agriculture","Federal Government",1,05/30/2017
"Department of Agriculture","Food and Nutrition Service","Federal Government",107,09/21/2017
"Department of Agriculture","Food and Nutrition Service, Department of Agriculture","Federal Government",11,08/31/2017
"Department of Agriculture","Foreign Agricultural Service","Federal Government",1,08/31/2017
"Department of Agriculture","Foreign Agricultural Service, Department of Agriculture","Federal Government",10,02/07/2017
"Department of Agriculture",NRCS,"Federal Government",29,10/09/2017
"Department of Agriculture","National Agricultural Statistics Service, Department of Agriculture","Federal Government",6,10/09/2017
"Department of Agriculture","National Appeals Division, Department of Agriculture","Federal Government",1,02/07/2017
"Department of Agriculture","National Institute of Food and Agriculture, Department of Agriculture","Federal Government",1,10/09/2017
"Department of Agriculture","Natural Resources Conservation Service, Colorado State University","Federal Government",1,10/09/2017
"Department of Agriculture","Office of Chief Information Officer","Federal Government",4,08/31/2017
"Department of Agriculture","Packers and Stockyards Program","Federal Government",1,08/31/2017
"Department of Agriculture","Packers and Stockyards Programs","Federal Government",2,08/31/2017
"Department of Agriculture","Rural Development, Department of Agriculture","Federal Government",43,08/31/2017
"Department of Agriculture","U. S. Department of Agriculture","Federal Government",7,10/09/2017
"Department of Agriculture","U.S. Forest Service","Federal Government",129,08/31/2017
"Department of Agriculture","USDA Economic Research Service","Federal Government",1,08/31/2017
"Department of Agriculture","USDA NAL","Federal Government",86,08/31/2017
"Department of Agriculture",USDA-GIPSA,"Federal Government",5,08/31/2017
"Department of Agriculture","United States Department of Agriculture","Federal Government",2,08/31/2017
"Department of Commerce",,"Federal Government",73388,11/11/2017
"Department of Commerce",(),"Federal Government",2,-
"Department of Commerce","(Point of Contact)","Federal Government",12,02/16/2017
"Department of Commerce","(Point of Contact); Penn State University (Principal Investigator); Temple University College of Science and Technology (Principal Investigator)","Federal Government",1,02/26/2016
"Department of Commerce","(Principal Investigator)","Federal Government",34,02/16/2017
"Department of Commerce","(Principal Investigator); Alfred Wegener Institute (Principal Investigator); National Snow and Ice Data Center (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","(Principal Investigator); Arctic and Antarctic Research Institute (Principal Investigator);  MeteorologyArctic and Antarctic Research Institute (Principal Investigator); National Snow and Ice Data Center (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","(Principal Investigator); Delft Univerisyt of Technology (Principal Investigator); National Snow and Ice Data Center (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","(Principal Investigator); International Association for the Environmental Communication (Principal Investigator); National Snow and Ice Data Center (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","(Principal Investigator); Joint Institute for the Study of the Atmospheres and the Oceans (Principal Investigator); NOAA/Pacific Marine Environmental Laboratory (Principal Investigator)","Federal Government",1,02/26/2016
"Department of Commerce","(Principal Investigator); NASA Goddard Space Flight Center (Principal Investigator); National Snow and Ice Data Center (Point of Contact, Principal Investigator)","Federal Government",1,02/26/2016
"Department of Commerce","(Principal Investigator); National Snow and Ice Data Center (Point of Contact)","Federal Government",6,02/16/2017
"Department of Commerce","(Principal Investigator); National Snow and Ice Data Center (Point of Contact); Alfred Wegener Institute for Polar and Marine Research (Principal Investigator)","Federal Government",1,02/26/2016
"Department of Commerce","(Principal Investigator); National Snow and Ice Data Center (Point of Contact); University of Wisconsin-Madison (Principal Investigator)","Federal Government",1,02/26/2016
"Department of Commerce","(Principal Investigator); Polar Science Center (Principal Investigator); National Snow and Ice Data Center (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","(Principal Investigator); U.S. Geological Survey (Principal Investigator); National Snow and Ice Data Center (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","(Principal Investigator, Originator)","Federal Government",3,02/26/2016
"Department of Commerce","(Principal Investigator, Point of Contact, Originator)","Federal Government",1,02/26/2016
"Department of Commerce","Bureau of Economic Analysis","Federal Government",10,12/06/2016
"Department of Commerce","Bureau of Industry and Security, Department of Commerce","Federal Government",2,12/06/2016
"Department of Commerce","Canadian Ice Service (Principal Investigator); National Snow and Ice Data Center (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","Carnegie Institute of Washington (Principal Investigator); National Snow and Ice Data Center (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","Climate Prediction Center, NOAA (Point of Contact)","Federal Government",84,02/26/2016
"Department of Commerce","Climate Prediction Center, National Centers for Environmental Prediction, National Weather Service, NOAA, U.S. Department of Commerce (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","Columbia University Lamont-Doherty Earth Observatory (LDEO) Lamont-Doherty Core Repository (LDCR) (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","DOC/NOAA/NESDIS/NCDC > National Climatic Data Center, NESDIS, NOAA, U.S. Department of Commerce (Point of Contact)","Federal Government",3,02/26/2016
"Department of Commerce","DOC/NOAA/NESDIS/NCEI > National Centers for Environmental Information, NESDIS, NOAA, U.S. Department of Commerce (Point of Contact)","Federal Government",482,02/16/2017
"Department of Commerce","DOC/NOAA/NESDIS/NCEI > National Centers for Environmental Information, NESDIS, NOAA, U.S. Department of Commerce (Point of Contact); STAR > Center for Satellite Applications and Research (Point of Contact)","Federal Government",1,02/26/2016
"Department of Commerce","DOC/NOAA/NESDIS/NODC/NCDDC> National Coastal Data Development Center (Custodian)","Federal Government",12,02/26/2016
