title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,dataDictionary,accessURL,format,webService,license,spatial,temporal,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,distribution,size,landingPage,feed,systemOfRecords,subagency,organizationName,organizationId,category,categoryDesignation,bibliographicCitation,comments,agencyProgramURL,agencyDataSeriesURL,phone,analysisUnit,additionalMetadata,collectionMode,collectionInstrument,dictionaryList,QualityResponsibleAgency,guidelineCompliance,confidentiality,numberOfDatasets,licenseRequirement,statisticalMethodology,sampling,estimation,weighting,disclosureAvoidance,questionnaireDesign,seriesBreaks,nonResponseAdjustment,seasonalAdjustment,isOGD,isAgencyOGD,isHighValue,reasonBeingHighValue,reasonBeingNew
"Active Mines and Mineral Plants in the US","Mine plants and operations for commodities monitored by the Minerals Information Team of the USGS. Operations included are those considered active in 2003 and surveyed by the USGS. ","EPA, Brownfields, Assessment Grant, Hazardous Substance, Property Redevelopment, public health, environment, federal data download, regulated sites, hazardous, contaminated, polluted, federal datasets, Land Revitalization, land redevelopment, land reuse, real property, hazardous substance, kmz, xml, Shapefile",2005,"Department of the Interior","Suzanne Nicholson (swnich@usgs.gov, 703-648-63444)",,DOI-13,public,"Included in metadata",Array,Array,,,Nationwide,"current as of 2003",2005,"as needed",,"individual mine sites as reported by industry",,"Section 6. Geography and Environment",http://tin.er.usgs.gov/mineplant/,Array,Array,,,,"US Geological Survey","US Geological Survey, Department of the Interior",usgs-gov,"Raw Data Catalog",Surveillance,,,"<a href=""http://mrdata.usgs.gov/"">http://mrdata.usgs.gov/</a>","<a href=""http://tin.er.usgs.gov/mineplant/"">http://tin.er.usgs.gov/mineplant/</a>",,site,"<a href=""http://tin.er.usgs.gov/metadata/mineplant.xml"">http://tin.er.usgs.gov/metadata/mineplant.xml</a>","survey of mineral industry","online forms, personal contact","Included in metadata","US Geological Survey",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Mineral Resource Data System: Conterminous US ","MRDS describes metallic and nonmetallic mineral resources throughout the world. Included are deposit name, location, commodity, deposit description, geologic characteristics, production, reserves, resources, and references. It includes the original MRDS and MAS/MILS data.","MRDS, metallic, nonmetallic, mineral, resources, deposit, name, location, commodity, description, geologic, characteristics, production, reserves, references, MAS, MILS, federal data download, environment, mining industry, economy, economic geology, mineral resources, federal datasets, geology, site, deposit, operation, mining district, commodities, ore, processing plant, geochemical",2009,"Department of the Interior","Suzanne Nicholson (swnich@usgs.gov, 703-648-63444)",,DOI-14,public,"included in metadata",http://tin.er.usgs.gov/mrds/mrds.zip,Zip,,,global,variable,1996,"revision ongoing",,"individual mines, prospects, and occurrences as well as groups",,"Section 6. Geography and Environment",http://tin.er.usgs.gov/mrds/,Array,38.9MB,,,,"US Geological Survey","US Geological Survey, Department of the Interior",usgs-gov,"Raw Data Catalog",Surveillance,,,"<a href=""http://mrdata.usgs.gov/"">http://mrdata.usgs.gov/</a>","<a href=""http://tin.er.usgs.gov/mrds/"">http://tin.er.usgs.gov/mrds/</a>",,site,"<a href=""http://tin.er.usgs.gov/metadata/mrds.xml"">http://tin.er.usgs.gov/metadata/mrds.xml</a>","compilation by researchers","various database entry systems","included in metadata","Interior / US Geological Survey",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Resource Data File - Alaska (ARDF)","The value of mineral production by state in the United States. The data represent commodities covered by the Minerals Information Team of the U.S. Geological Survey.","Alaska, value, mineral, production, state, United, commodities, Minerals, information, Team, USGS, federal data download, environment, mining industry, economy, economic geology, mineral resources, federal datasets, environment, mines, prospects, mineral occurrences, gold, silver",2008,"Department of the Interior","Suzanne Nicholson (swnich@usgs.gov, 703-648-63444)",,DOI-15,public,"included in metadata",Array,Array,,,Alaska,"current as of 2008",1988,"as needed",,"individual mines, prospects, and occurrences",,"Section 6. Geography and Environment",http://tin.er.usgs.gov/ardf/,Array,Array,,,,"US Geological Survey","US Geological Survey, Department of the Interior",usgs-gov,"Raw Data Catalog",Surveillance,,,"<a href=""http://mrdata.usgs.gov/"">http://mrdata.usgs.gov/</a>","<a href=""http://tin.er.usgs.gov/ardf/"">http://tin.er.usgs.gov/ardf/</a>",,site,"<a href=""http://tin.er.usgs.gov/metadata/ardf.xml"">http://tin.er.usgs.gov/metadata/ardf.xml</a>","compilation by researchers and contractors","FileMaker Pro entry forms","included in metadata","Interior / US Geological Survey",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Global Trade - World Copper Smelters","Locations and characteristics of world copper smelters","Locations, characteristics, world, copper, smelters, federal data download, smelter inventory, industrial sites, mineral resources, international, federal datasets, environment, processing, refine, Commodities, Blast Furnace, facility",2003,"Department of the Interior","Suzanne Nicholson (swnich@usgs.gov, 703-648-63444)",,DOI-16,public,"included in metadata",Array,Array,,,global,"current as of 2003",2003,"as needed",,"individual plant sites",,"Section 6. Geography and Environment",http://tin.er.usgs.gov/copper/,Array,Array,,,,"US Geological Survey","US Geological Survey, Department of the Interior",usgs-gov,"Raw Data Catalog",Surveillance,,,"<a href=""http://mrdata.usgs.gov/"">http://mrdata.usgs.gov/</a>","<a href=""http://tin.er.usgs.gov/copper/"">http://tin.er.usgs.gov/copper/</a>",,site,"<a href=""http://tin.er.usgs.gov/metadata/copper.xml"">http://tin.er.usgs.gov/metadata/copper.xml</a>","compilation by researchers","database form","included in metadata","Interior / US Geological Survey",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Geology of the Coterminous United States","A digital version of the Geologic Map of the United States, originally published at a scale of 1:2,500,000 (King and Beikman, 1974b). It excludes Alaska and Hawaii.","digital, Geologic, Map, scale, 1:2, 500, 000, King, Beikman, 1974b, federaldata download, continental United States, USGS, bedrock geologic units, geology, digital version of US geological map, federal datasets, environment, Coterminous US, geologic maps, lithostratigraphy, faults, rocks, bedrock",1994,"Department of the Interior","Suzanne Nicholson (swnich@usgs.gov, 703-648-63444)",,DOI-19,public,"included in metadata",http://tin.er.usgs.gov/geology/us/kbgeology.zip,Zip,,,"Coterminous US",timeless,1974,"none planned",,"generalized geologic formation",,"Section 6. Geography and Environment",http://tin.er.usgs.gov/geology/us/,Array,14.2MB,,,,"US Geological Survey","US Geological Survey, Department of the Interior",usgs-gov,"Raw Data Catalog",Surveillance,,,"<a href=""http://mrdata.usgs.gov/"">http://mrdata.usgs.gov/</a>","<a href=""http://tin.er.usgs.gov/geology/us/"">http://tin.er.usgs.gov/geology/us/</a>",,"generalized geologic formation","<a href=""http://tin.er.usgs.gov/metadata/dds-11.xml"">http://tin.er.usgs.gov/metadata/dds-11.xml</a>","compilation by researchers",various,"included in metadata","Interior / US Geological Survey",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"National Geochemical Survey Database","National-scale geochemical analysis of stream sediments and soils in the US, from existing data, reanalysis of existing samples, and new sampling. Goal for sample density is one per 289 square km. ","geochemical, analysis, stream, sediment, soil, sampling, federal datasets, federal data download, atomic absorption analysis, atomic emission spectrometry, geochemistry, lithostratigraphy, neutron activation analysis, soil chemistry, unconsolidated deposits, environment, stream sediments, Chemical analysis, Field sampling, Mercury, Arsenic",2008,"Department of the Interior","Suzanne Nicholson (swnich@usgs.gov, 703-648-63444)",,DOI-21,public,"included in metadata and documentation",http://tin.er.usgs.gov/geochem/ngs.zip,Zip,,,"Conterminous US, Alaska","data obtained through 2007",2004,"ongoing data collection",,"individual sample analyses",,"Section 6. Geography and Environment",http://tin.er.usgs.gov/geochem/,Array,6.1MB,,,,"US Geological Survey","US Geological Survey, Department of the Interior",usgs-gov,"Raw Data Catalog",Surveillance,,,"<a href=""http://mrdata.usgs.gov/"">http://mrdata.usgs.gov/</a>","<a href=""http://tin.er.usgs.gov/geochem/"">http://tin.er.usgs.gov/geochem/</a>",,sample,"<a href=""http://tin.er.usgs.gov/metadata/ofr-2004-1001.xml"">http://tin.er.usgs.gov/metadata/ofr-2004-1001.xml</a>","compilation by researchers","relational database","included in metadata and documentation","Interior / US Geological Survey",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Geochemistry of Sediments in the US from the (NURE-HSSR) Database ","Geochemical analyses of sediment samples throughout the U.S. collected by the hydrogeochemical and stream sediment reconnaissance (HSSR) phase of the National Uranium Resource Evaluation (NURE) program. This database contains 397,625 records. ","Geochemical, Geochem, sediment, hydrogeochemical, stream, HSSR, Uranium, Resource, NURE , federal datasets, federal data download, chemical analysis, unconsolidated deposits, geochemistry, environment, water, stream sediments, soils, groundwater, surface water, KML, shapefile",2004,"Department of the Interior","Suzanne Nicholson (swnich@usgs.gov, 703-648-63444)",,DOI-22,public,"included in metadata",http://tin.er.usgs.gov/nure/sediment/nuresed.zip,Zip,,,"Conterminous US, Alaska","data collection through 1980",1997,"none planned",,"individual sample analyses",,"Section 6. Geography and Environment",http://tin.er.usgs.gov/nure/sediment/,Array,31.0MB,,,,"US Geological Survey","US Geological Survey, Department of the Interior",usgs-gov,"Raw Data Catalog",Surveillance,,,"<a href=""http://mrdata.usgs.gov/"">http://mrdata.usgs.gov/</a>","<a href=""http://tin.er.usgs.gov/nure/sediment/"">http://tin.er.usgs.gov/nure/sediment/</a>",,sample,"<a href=""http://tin.er.usgs.gov/metadata/nurehssr.xml"">http://tin.er.usgs.gov/metadata/nurehssr.xml</a>","compilation by researchers as part of the NURE program","relational database","included in metadata","Interior / US Geological Survey",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Geochemistry of Water Samples in the US from the NURE-HSSR Database ","Geochemical analyses of water samples throughout the U.S. collected by the hydrogeochemical and stream sediment reconnaissance (HSSR) phase of the National Uranium Resource Evaluation (NURE) program. This database contains 335,547 records. ","Geochemistry, Water Sample, Water, Sample, NURE, HSSR, federal datasets, federal data download, chemical analysis, water properties, geochemistry, environment, stream sediments, soils, groundwater, surface water",2004,"Department of the Interior","Suzanne Nicholson (swnich@usgs.gov, 703-648-63444)",,DOI-23,public,"included in metadata",http://tin.er.usgs.gov/nure/water/nurewtr.zip,Zip,,,"Conterminous US, Alaska","data collection through 1980",1997,"none planned",,"individual sample analyses",,"Section 6. Geography and Environment",http://tin.er.usgs.gov/nure/water/,Array,22.0MB,,,,"US Geological Survey","US Geological Survey, Department of the Interior",usgs-gov,"Raw Data Catalog",Surveillance,,,"<a href=""http://mrdata.usgs.gov/"">http://mrdata.usgs.gov/</a>","<a href=""http://tin.er.usgs.gov/nure/water/"">http://tin.er.usgs.gov/nure/water/</a>",,sample,"<a href=""http://tin.er.usgs.gov/metadata/nurehssr.xml"">http://tin.er.usgs.gov/metadata/nurehssr.xml</a>","compilation by researchers as part of the NURE program","relational database","included in metadata","Interior / US Geological Survey",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Geochemistry of Sediments from the PLUTO Database ","Geochemical data for unconsolidated sediments (stream sediments, lake sediments, etc.) collected in the US and analyzed by the USGS. These data were originally entered in the PLUTO database, which is now merged into the National Geochemistry Database.","Geochemistry, Water Sample, Water, Sample, PLUTO, federal datasets, federal data download, chemical analysis, unconsolidated deposits, geochemistry, USGS, unconsolidated sediments, streams, lakes, deposition, rock",2001,"Department of the Interior","Suzanne Nicholson (swnich@usgs.gov, 703-648-63444)",,DOI-24,public,"included in metadata",http://tin.er.usgs.gov/pluto/sediment/plutosed.zip,Zip,,,"Conterminous US, Alaska","samples collected 1963-1995",1998,"none planned",,"individual sample analyses",,"Section 6. Geography and Environment",http://tin.er.usgs.gov/metadata/plutosed.xml,Array,6.3MB,,,,"US Geological Survey","US Geological Survey, Department of the Interior",usgs-gov,"Raw Data Catalog",Surveillance,,,"<a href=""http://mrdata.usgs.gov/"">http://mrdata.usgs.gov/</a>","<a href=""http://tin.er.usgs.gov/pluto/sediment/"">http://tin.er.usgs.gov/pluto/sediment/</a>",,sample,"<a href=""http://tin.er.usgs.gov/pluto/sediment/"">http://tin.er.usgs.gov/pluto/sediment/</a>","collection by researchers","relational database","included in metadata","Interior / US Geological Survey",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Geochemistry of Soils from the PLUTO Database","Geochemical data for soils collected in the United States and analyzed by the USGS. The data were originally entered into the in-house PLUTO database. This is a subset of DDS-47.","Geography, geochemist, environment, soil, DDS-47, federal datasets, federal data download, chemical analysis, deposits, geochemistry, USGS, inorganic geochemical data, Soil sample analysis, Soil chemistry, Unconsolidated deposits, Mineral Resources Program",2001,"Department of the Interior","Suzanne Nicholson (swnich@usgs.gov, 703-648-63444)",,DOI-25,public,"included in metadata",http://tin.er.usgs.gov/pluto/soil/plutosoil.zip,Zip,,,"Conterminous US, Alaska","samples collected 1960-1995",1998,"none planned",,"individual sample analyses",,"Section 6. Geography and Environment",http://tin.er.usgs.gov/metadata/plutosoil.xml,Array,3.0MB,,,,"US Geological Survey","US Geological Survey, Department of the Interior",usgs-gov,"Raw Data Catalog",Surveillance,,,"<a href=""http://mrdata.usgs.gov/"">http://mrdata.usgs.gov/</a>","<a href=""http://tin.er.usgs.gov/metadata/plutosoil.xml"">http://tin.er.usgs.gov/metadata/plutosoil.xml</a>",,sample,"<a href=""http://tin.er.usgs.gov/pluto/soil/"">http://tin.er.usgs.gov/pluto/soil/</a>","collection by researchers","relational database","included in metadata","Interior / US Geological Survey",Yes,Yes,0,,,,,,,,,,,N,N,N,,
