title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,dataDictionary,accessURL,format,webService,license,spatial,temporal,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,distribution,size,landingPage,feed,systemOfRecords,subagency,organizationName,organizationId,category,categoryDesignation,bibliographicCitation,comments,agencyProgramURL,agencyDataSeriesURL,phone,analysisUnit,additionalMetadata,collectionMode,collectionInstrument,dictionaryList,QualityResponsibleAgency,guidelineCompliance,confidentiality,numberOfDatasets,licenseRequirement,statisticalMethodology,sampling,estimation,weighting,disclosureAvoidance,questionnaireDesign,seriesBreaks,nonResponseAdjustment,seasonalAdjustment,isOGD,isAgencyOGD,isHighValue,reasonBeingHighValue,reasonBeingNew
"Federal Register","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. GPO's Federal Digital System (FDsys) contains Federal Register issues from 1994 to the present. 

The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on <a href=""http://www.gpo.gov/"">FDsys.gov</a>.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  <a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>","Office of the Federal Register (OFR), National Archives and Records Administration (NARA), rules, regulations, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders and proclamations","Monday through Friday, except Federal holidays. ","National Archives and Records Administration",,opengov@nara.gov,NARA-101,public,,http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR,,,,"United States","1994 to present",1/3/1994,Daily,,,,Other,http://www.gpo.gov/help/index.html#about_federal_register.htm,Array,,,,,,"National Archives and Records Administration",nara-gov,"Tool Catalog",Administrative,"<a href=""http://www.fdsys.gov"">http://www.fdsys.gov</a>",,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>",,"Notices, proposed rules, rules and regulations, presidential documents",,,,,"Office of the Federal Register (OFR), National Archives and Records Administration (NARA)",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"2009 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day.

The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on <a href=""http://www.gpo.gov/"">FDsys.gov</a>.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  <a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>","Rules, regulations, regs, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders, presidential proclamations, Federal Register, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML","Monday through Friday, except Federal holidays. ","National Archives and Records Administration",,opengov@nara.gov,NARA-945,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2009/FR-2009.zip,XML,,,,2009,01/02/09,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,100MB,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"Notices, proposed rules, rules and regulations, presidential documents","<a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>",Computer,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"2008 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day.

The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on <a href=""http://www.gpo.gov/"">FDsys.gov</a>.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  <a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>","Rules, regulations, regs, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders, presidential proclamations, Federal Register, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/08,"National Archives and Records Administration",,opengov@nara.gov,NARA-946,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2008/FR-2008.zip,XML,,,,2008,01/02/08,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,121MB,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"Notices, proposed rules, rules and regulations, presidential documents","<a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>",Computer,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"2007 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day.

The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on <a href=""http://www.gpo.gov/"">FDsys.gov</a>.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  <a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>","Rules, regulations, regs, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders, presidential proclamations, Federal Register, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/07,"National Archives and Records Administration",,opengov@nara.gov,NARA-947,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2007/FR-2007.zip,XML,,,,2007,01/03/07,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,109MB,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"Notices, proposed rules, rules and regulations, presidential documents","<a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>",Computer,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"2006 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day.

The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on <a href=""http://www.gpo.gov/"">FDsys.gov</a>.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  <a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>","Rules, regulations, regs, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders, presidential proclamations, Federal Register, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/29/06,"National Archives and Records Administration",,opengov@nara.gov,NARA-948,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2006/FR-2006.zip,XML,,,,2006,01/04/06,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,113MB,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"Notices, proposed rules, rules and regulations, presidential documents","<a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>",Computer,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"2005 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day.

The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on <a href=""http://www.gpo.gov/"">FDsys.gov</a>.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  <a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>","Rules, regulations, regs, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders, presidential proclamations, Federal Register, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/30/05,"National Archives and Records Administration",,opengov@nara.gov,NARA-949,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2005/FR-2005.zip,XML,,,,2005,01/03/05,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,107MB,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"Notices, proposed rules, rules and regulations, presidential documents","<a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>",Computer,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"2004 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day.

The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on <a href=""http://www.gpo.gov/"">FDsys.gov</a>.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  <a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>","Rules, regulations, regs, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders, presidential proclamations, Federal Register, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/30/04,"National Archives and Records Administration",,opengov@nara.gov,NARA-950,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2004/FR-2004.zip,XML,,,,2004,01/02/04,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,105MB,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"Notices, proposed rules, rules and regulations, presidential documents","<a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>",Computer,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"2003 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day.

The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on <a href=""http://www.gpo.gov/"">FDsys.gov</a>.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  <a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>","Rules, regulations, regs, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders, presidential proclamations, Federal Register, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/03,"National Archives and Records Administration",,opengov@nara.gov,NARA-951,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2003/FR-2003.zip,XML,,,,2003,01/03/03,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,104MB,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"Notices, proposed rules, rules and regulations, presidential documents","<a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>",Computer,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"2002 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day.

The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on <a href=""http://www.gpo.gov/"">FDsys.gov</a>.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  <a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>","Rules, regulations, regs, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders, presidential proclamations, Federal Register, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/02,"National Archives and Records Administration",,opengov@nara.gov,NARA-952,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2002/FR-2002.zip,XML,,,,2002,01/02/02,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,100MB,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"Notices, proposed rules, rules and regulations, presidential documents","<a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>",Computer,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"2001 Federal Register in XML","The Federal Register is the official daily publication for rules, proposed rules, and notices of Federal agencies and organizations, as well as executive orders and other presidential documents. Published by the Office of the Federal Register (OFR), National Archives and Records Administration (NARA), it is updated daily and is available Monday through Friday, except Federal holidays. Bulk data downloads of Federal Register files in XML format are available from 2000 to the present, by year, month, and day.

The current XML data set is not yet an official format of the Federal Register.  Only the PDF and Text versions have legal status as parts of the official online format of the Federal Register.  The XML-structured files are derived from SGML-tagged data and printing codes, which may produce anomalies in display. In addition, the XML data does not yet include image files. Users who require a higher level of assurance may wish to consult the official version of the Federal Register on <a href=""http://www.gpo.gov/"">FDsys.gov</a>.  The FDsys data set includes digitally signed Federal Register PDF files, which may be relied upon as evidence in a court of law. See:  <a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>","Rules, regulations, regs, proposed rules, notices, directives, guidelines, rule makings, meetings, presidential executive orders, presidential proclamations, Federal Register, Office of the Federal Register, OFR, National Archives and Records Administration, NARA, Government Printing Office, GPO, FDsys, XML",12/31/01,"National Archives and Records Administration",,opengov@nara.gov,NARA-953,public,http://www.federalregister.gov,http://www.gpo.gov/fdsys/bulkdata/FR/2001/FR-2001.zip,XML,,,,2001,01/03/01,Daily,,,,Other,http://www.gpo.gov/fdsys/bulkdata/FR/resources,Array,94MB,,,,"Office of the Federal Register","Office of the Federal Register, National Archives and Records Administration",gpo-gov,"Raw Data Catalog",Administrative,"<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.gpo.gov/fdsys/bulkdata/FR"">http://www.gpo.gov/fdsys/bulkdata/FR</a>",,"Notices, proposed rules, rules and regulations, presidential documents","<a href=""http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR"">http://www.gpo.gov/fdsys/browse/collection.action?collectionCode=FR</a>",Computer,"<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","<a href=""http://www.federalregister.gov"">http://www.federalregister.gov</a>","National Archives and Records Administration (NARA), Office of the Federal Register (OFR)",Yes,Yes,1,,,,,,,,,,,N,N,N,,
