title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,dataDictionary,accessURL,format,webService,license,spatial,temporal,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,distribution,size,landingPage,feed,systemOfRecords,subagency,organizationName,organizationId,category,categoryDesignation,bibliographicCitation,comments,agencyProgramURL,agencyDataSeriesURL,phone,analysisUnit,additionalMetadata,collectionMode,collectionInstrument,dictionaryList,QualityResponsibleAgency,guidelineCompliance,confidentiality,numberOfDatasets,licenseRequirement,statisticalMethodology,sampling,estimation,weighting,disclosureAvoidance,questionnaireDesign,seriesBreaks,nonResponseAdjustment,seasonalAdjustment,isOGD,isAgencyOGD,isHighValue,reasonBeingHighValue,reasonBeingNew
"Data.gov Catalog","CSV format download containing the metadata for the Data.gov raw datasets and tools catalogs.","Data.gov, dataset, catalog, raw data, data extraction tool, metadata, Interactive","June, 2009","Executive Office of the President",DataGov@gsa.gov,,EOP-92,public,,https://explore.data.gov/api/views/pyv4-fkgv/rows.csv?accessType=DOWNLOAD,TXT(CSV),,,Global,Daily,"June, 2009","24 hours",,,,Other,http://www.data.gov,Array,varies,,,,"Office of Management and Budget","Office of Management and Budget, Executive Office of the President",omb-eop-gov,"Raw Data Catalog",Administrative,"Data.gov Catalog",,"<a href=""http://www.data.gov"">http://www.data.gov</a>","<a href=""http://www.data.gov"">http://www.data.gov</a>",,dataset,,,,,"Office of Management and Budget",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Public Budget Database - Budget Authority and offsetting receipts 1976-Current","This file contains historical budget authority and offsetting receipts for 1976 through the current budget year, as well as four years of projections. It can be used to reproduce many of the totals published in the Budget and examine unpublished details below the levels of aggregation published in the Budget. ","Budget, Budget Authority, OMB, Budget Accounts, OMB Accounts",2/14/2011,"Executive Office of the President","Phil Wenger",pwenger@omb.eop.gov,EOP-401,public,http://www.whitehouse.gov/sites/default/files/omb/budget/fy2012/assets/db_guide.pdf,Array,Array,,,"National (US)",1976-2016,2/14/2011,annual,,"National (US)",,"Section 9. Federal Government Finances and Employment",http://www.whitehouse.gov/sites/default/files/omb/budget/fy2012/assets/db_guide.pdf,Array,Array,,,,"Office of Management and Budget","Office of Management and Budget, Executive Office of the President",omb-eop-gov,"Raw Data Catalog",Administrative,http://www.whitehouse.gov/omb/budget/,,http://www.whitehouse.gov/omb/budget/,http://www.whitehouse.gov/omb/budget/Supplemental/,202-395-5155,"budget account",,person/computer,http://www.whitehouse.gov/omb/circulars_a11_current_year_a11_toc/,http://www.whitehouse.gov/sites/default/files/omb/budget/fy2012/assets/db_guide.pdf,OMB,Yes,Yes,0,,,,,,,,,,,N,Y,Y,"Improves public knowledge of the agency and its operations",
"Public Budget Database - Outlays and offsetting receipts 1962-Current","This file contains historical outlays and offsetting receipts for 1962 through the current budget year, as well as four years of projections. It can be used to reproduce many of the totals published in the Budget and examine unpublished details below the levels of aggregation published in the Budget.","Budget, Outlays, OMB, Budget Accounts, OMB Accounts",2/14/2011,"Executive Office of the President","Phil Wenger, 202-395-5155, pwenger@omb.eop.gov",,EOP-402,public,http://www.whitehouse.gov/sites/default/files/omb/budget/fy2012/assets/db_guide.pdf,Array,Array,,,"National (US)",1962-2016,2/14/2011,annual,,"National (US)",,"Section 9. Federal Government Finances and Employment",http://www.whitehouse.gov/sites/default/files/omb/budget/fy2012/assets/db_guide.pdf,Array,Array,,,,"Office of Management and Budget","Office of Management and Budget, Executive Office of the President",omb-eop-gov,"Raw Data Catalog",Administrative,http://www.whitehouse.gov/omb/budget/,,http://www.whitehouse.gov/omb/budget/,http://www.whitehouse.gov/omb/budget/Supplemental/,,"budget account",,person/computer,http://www.whitehouse.gov/omb/circulars_a11_current_year_a11_toc/,http://www.whitehouse.gov/sites/default/files/omb/budget/fy2012/assets/db_guide.pdf,OMB,Yes,Yes,0,,,,,,,,,,,N,Y,Y,"Improves public knowledge of the agency and its operations",
"Public Budget Database - Governmental receipts 1962-Current","This file contains governmental receipts for 1962 through the current budget year, as well as four years of projections. It can be used to reproduce many of the totals published in the Budget and examine unpublished details below the levels of aggregation published in the Budget.","Budget, Receipts, OMB, Budget Accounts, OMB Accounts",2/14/2011,"Executive Office of the President","Phil Wenger",pwenger@omb.eop.gov,EOP-403,public,http://www.whitehouse.gov/sites/default/files/omb/budget/fy2012/assets/db_guide.pdf,Array,Array,,,"National (US)",1962-2016,2/14/2011,annual,,"National (US)",,"Section 9. Federal Government Finances and Employment",http://www.whitehouse.gov/sites/default/files/omb/budget/fy2012/assets/db_guide.pdf,Array,Array,,,,"Office of Management and Budget","Office of Management and Budget, Executive Office of the President",omb-eop-gov,"Raw Data Catalog",Administrative,http://www.whitehouse.gov/omb/budget/,,http://www.whitehouse.gov/omb/budget/,http://www.whitehouse.gov/omb/budget/Supplemental/,202-395-5155,"budget account",,person/computer,http://www.whitehouse.gov/omb/circulars_a11_current_year_a11_toc/,http://www.whitehouse.gov/sites/default/files/omb/budget/fy2012/assets/db_guide.pdf,OMB,Yes,Yes,0,,,,,,,,,,,N,Y,Y,"Improves public knowledge of the agency and its operations",
"White House Speeches","Weekly speeches from the President of the United States addressed to all Americans","White House, president, obama, Washington, federal, notifications, video ",08/01/09,"Executive Office of the President","Macon Phillips, c/o Phil Wenger, OMB POC, Philip_R._Wenger@omb.eop.gov, 202-395-5155",,EOP-596,public,http://www.whitehouse.gov/privacy/,http://www.whitehouse.gov/rss/speeches.xml,RSS,,,USA,1/20/09-ongoing,01/20/09,daily,,USA,,"Section 24. Information and Communications",http://www.whitehouse.gov/privacy/,Array,"20 KB",,,,"White House","White House, Executive Office of the President",wh-eop-gov,"Tool Catalog",Gadget,"<a href=""http://www.whitehouse.gov/privacy/"">http://www.whitehouse.gov/privacy/</a>",,"<a href=""http://www.whitehouse.gov/rss/"">http://www.whitehouse.gov/rss/</a>","<a href=""http://www.whitehouse.gov/rss/speeches.xml"">http://www.whitehouse.gov/rss/speeches.xml</a>",,"news updates",,computer,computer,"<a href=""http://www.whitehouse.gov/privacy/"">http://www.whitehouse.gov/privacy/</a>","White House",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"White House Video Press Releases","Video press releases from the White House ","White House, president, obama, Washington, federal, press release, notifications, video",08/04/09,"Executive Office of the President","Macon Phillips, c/o Phil Wenger, OMB POC, Philip_R._Wenger@omb.eop.gov, 202-395-5155",,EOP-597,public,http://www.whitehouse.gov/privacy/,http://www.whitehouse.gov/rss/Briefings.xml,RSS,,,USA,1/20/09-ongoing,01/20/09,daily,,USA,,"Section 24. Information and Communications",http://www.whitehouse.gov/privacy/,Array,"20 KB",,,,"White House","White House, Executive Office of the President",wh-eop-gov,"Tool Catalog",Gadget,"<a href=""http://www.whitehouse.gov/privacy/"">http://www.whitehouse.gov/privacy/</a>",,"<a href=""http://www.whitehouse.gov/rss/"">http://www.whitehouse.gov/rss/</a>","<a href=""http://www.whitehouse.gov/rss/Briefings.xml"">http://www.whitehouse.gov/rss/Briefings.xml</a>",,"news updates",,computer,computer,"<a href=""http://www.whitehouse.gov/privacy/"">http://www.whitehouse.gov/privacy/</a>","White House",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"White House Special Feature Video Pieces","Special feature video pieces from the White House","White House, president, obama, Washington, federal, notifications, video ",08/05/09,"Executive Office of the President","Macon Phillips, c/o Phil Wenger, OMB POC, Philip_R._Wenger@omb.eop.gov, 202-395-5155",,EOP-598,public,http://www.whitehouse.gov/privacy/,http://www.whitehouse.gov/rss/WHvideos.xml,RSS,,,USA,1/20/09-ongoing,01/20/09,daily,,USA,,"Section 24. Information and Communications",http://www.whitehouse.gov/privacy/,Array,"20 KB",,,,"White House","White House, Executive Office of the President",wh-eop-gov,"Tool Catalog",Gadget,"<a href=""http://www.whitehouse.gov/privacy/"">http://www.whitehouse.gov/privacy/</a>",,"<a href=""http://www.whitehouse.gov/rss/"">http://www.whitehouse.gov/rss/</a>","<a href=""http://www.whitehouse.gov/rss/WHvideos.xml"">http://www.whitehouse.gov/rss/WHvideos.xml</a>",,"news updates",,computer,computer,"<a href=""http://www.whitehouse.gov/privacy/"">http://www.whitehouse.gov/privacy/</a>","White House",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"White House Text Press Releases","Text press releases from the White House ","White House, president, obama, Washington, federal, press release, notifications",08/07/09,"Executive Office of the President","Macon Phillips, c/o Phil Wenger, OMB POC, Philip_R._Wenger@omb.eop.gov, 202-395-5155",,EOP-599,public,http://www.whitehouse.gov/privacy/,http://www.whitehouse.gov/feed/press/,RSS,,,USA,1/20/09-ongoing,01/20/09,daily,,USA,,"Section 24. Information and Communications",http://www.whitehouse.gov/privacy/,Array,"20 KB",,,,"White House","White House, Executive Office of the President",wh-eop-gov,"Tool Catalog",Gadget,"<a href=""http://www.whitehouse.gov/privacy/"">http://www.whitehouse.gov/privacy/</a>",,"<a href=""http://www.whitehouse.gov/rss/"">http://www.whitehouse.gov/rss/</a>","<a href=""http://www.whitehouse.gov/feed/press/"">http://www.whitehouse.gov/feed/press/</a> ",,"news updates",,computer,computer,"<a href=""http://www.whitehouse.gov/privacy/"">http://www.whitehouse.gov/privacy/</a>","White House",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Completed EO 12866 Regulatory Reviews by Calendar Year","Annual data set of draft rules reviewed by OMB under Executive Orders 12291 and 12866.  The data provide information by agency, length of review in days, and economic significance.  This data set provides annual data going back to 1981.","EO 12866, Regulation, Reg, Rulemaking, OIRA, Office of Information and Regulatory Affairs, OMB, APA, Rule, RIN",14-Jan-2010,"Executive Office of the President","Michael Johnson",mjohnson@omb.eop.gov,EOP-1519,public,http://www.whitehouse.gov/omb/library/OIRA.REPORTS.xsd,http://www.reginfo.gov/public/do/XMLViewFileAction?f=PREVIOUS_YEAR_EO_RULE_COMPLETED.zip,XML,,,N/A,"Calendar Year",01-Oct-2006,daily,,,,Other,http://www.whitehouse.gov/omb/library/OIRA.REPORTS.xsd,Array,1.8M,,,,"Office of Management and Budget","Office of Management and Budget, Executive Office of the President",omb-eop-gov,"Raw Data Catalog",Other,http://www.whitehouse.gov/omb/regulatory_affairs/default/,,http://www.whitehouse.gov/omb/regulatory_affairs/default/,http://www.reginfo.gov/public/do/XMLReportList,202-395-7854,Regulation,http://www.reginfo.gov/public/do/XMLReportList,Computer,http://www.whitehouse.gov/omb/library/OIRA.REPORTS.xsd,http://www.whitehouse.gov/omb/library/OIRA.REPORTS.xsd,"Office of Information and Regulatory Affairs",Yes,Yes,1,,,,,,,,,,,Y,N,Y,,
"National Nanotechnology Initiative Investments by Agency and Program Component Area","Data represents National Nanotechnology Initiative investments by agency and program component area (PCA) from FY 2001 through FY 2010 (requested). While this data has been available as part of the NNI's annual supplements to the President's Budget, the funding data presented here is more accessible and readily available for analysis by users to assess trends and examine investment allocations over the 10-year history of the NNI. The cumulative NNI investment of nearly $12 billion in nanotechnology research and development continues to advance our understanding of the unique phenomena and processes that occur at the nanoscale and to leverage that knowledge to speed innovation in high-impact opportunity areas such as energy, security, and medicine.","National Nanotechnology Initiative, NNI, nano, nanotech, nanotechnology, nanotechnology research, nanotechnology research funding, Federal research and development budget",22-Jan-2010,"Executive Office of the President","Rick Weiss",rweiss@ostp.eop.gov,EOP-1556,public,http://www.nano.gov,http://www.nano.gov/NNI_Investments_by_Agency_PCA_2001_2010.xls,XLS,,,N/A,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",22-Jan-2010,annual,,,,"Section 16. Science and Technology","http://www.ostp.gov/galleries/Budget09/Nano1pager.pdf, http://www.nano.gov/nni04_budget_supplement.pdf, http://www.gpoaccess.gov/USbudget/fy05/pdf/spec.pdf, http://www.nano.gov/NNI_06Budget.pdf, http://www.nano.gov/NNI_07Budget.pdf, http://www.nano.gov/NNI_08Budget.pdf, http://www.nano.gov/NNI_09Budget.pdf, http://www.nano.gov/NNI_2010_budget_supplement.pdf",Array,"1 MB",,,,"Office of Science and Technology Policy","Office of Science and Technology Policy, Executive Office of the President",ostp-eop-gov,"Raw Data Catalog",Administrative,http://www.nano.gov,,http://www.nano.gov,http://www.nano.gov,202-456-6037,"nanotechnology research and development funding",,person/computer,,http://www.nano.gov,"Office of Science & Technology Policy",Yes,"Not Relevant",1,,,,,,,,,,,Y,N,Y,,
