title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,dataDictionary,accessURL,format,webService,license,spatial,temporal,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,distribution,size,landingPage,feed,systemOfRecords,subagency,organizationName,organizationId,category,categoryDesignation,bibliographicCitation,comments,agencyProgramURL,agencyDataSeriesURL,phone,analysisUnit,additionalMetadata,collectionMode,collectionInstrument,dictionaryList,QualityResponsibleAgency,guidelineCompliance,confidentiality,numberOfDatasets,licenseRequirement,statisticalMethodology,sampling,estimation,weighting,disclosureAvoidance,questionnaireDesign,seriesBreaks,nonResponseAdjustment,seasonalAdjustment,isOGD,isAgencyOGD,isHighValue,reasonBeingHighValue,reasonBeingNew
"Community Collaborative Rain, Hail and Snow Observations (CoCoRaHS) ","The National Weather Service (NWS) supports the Community Collaborative Rain, Hail and Snow (CoCoRaHS) network.  CoCoRaHS is a unique, non-profit, community-based network of volunteers of all ages and backgrounds working together to measure and map precipitation (rain, snow and hail). The network has over 6,500 observers in 26 states. Once trained, volunteers collect data using standardized, low cost measuring tools such as a 4-inch diameter high capacity rain gage, snow boards to measure snow, and aluminum foil-wrapped Styrofoam hail pads in some states. This site has been compiled by NWS and contains the results of the observations and data collection activities of these volunteers across a broad swath of the United States.","Rain, snow, hail, amount, GIS, KML, federal datasets, federal data download, Severe, Weather, GIS, environment, kml, kmz, snowfall, weather, forecast, Severe Weather, Storms",daily,"Department of Commerce","Robert Bunge, 301-713-1381 x140",robert.bunge@noaa.gov,DOC-42,public,,http://www.srh.noaa.gov/gis/kml/cocorahs/cocorahsLink.kml,kml,,,"United States and territories",daily,unknown,daily,,Latitude/Longitude,,"Section 6. Geography and Environment",http://www.srh.noaa.gov/gis/kml/,Array,1KB,,,,"National Oceanic and Atmospheric Administration","National Oceanic and Atmospheric Administration, Department of Commerce",noaa-gov,"Raw Data Catalog",Geospatial,http://www.srh.noaa.gov/gis/kml/,"here is the dataset.  It was originally delievered as part of the DG Standup",http://www.weather.gov/gis/,http://www.srh.noaa.gov/gis/kml/,301-713-1381,Inches,,Internet/Web,,,"NOAA NWS",Yes,Yes,1,,,,,,,,,,,Y,N,Y,,
"Current National Weather Service Watches, Warnings, or Advisories for the United States","The National Weather Service (NWS) Storm Prediction Center uses RSS feeds to disseminate all watches, warnings and advisories for the United States that are currently in force.  These RSS feeds are regularly updated to include the most current information that may include today's watches, warnings and/or advisories, as well as forecast information for future dates that meet watch, warning, or advisory conditions.  Although available to all, the data summarized in these RSS feeds may be of particular value to weather professionals, meteorology students, emergency managers, and others who track weather conditions for personal, governmental, or commercial purposes.This tool provides access to NWS watches, warnings, advisories, and other similar products in the Common Alerting Protocol (CAP) and Atom Syndication Format (ATOM).Use of ATOM and CAP with Traditional and Emerging TechnologiesNWS CAP and ATOM feeds can be used to launch Internet messages, trigger alerting systems, feed mobile device (e.g., cell phone/smart phone and tablet) applications, news feeds, television text captions, highway sign messages, and synthesized voice over automated telephone calls or radio broadcasts.","watch, warning, advisory, United States, federal datasets, federal data download, severe, weather, environment, weather forecast, Severe Weather, Storms, alert",09-18-2012,"Department of Commerce","Ron Jones",Ronald.C.Jones@noaa.gov,DOC-54,public,"  http://alerts.weather.gov/",http://alerts.weather.gov/cap/us.php?x=1,xml,,,"Continental United States","< 5 minutes",01-01-2010,"< 5 minutes",,"Continental United States",,"Section 6. Geography and Environment",http://alerts.weather.gov/,Array,0.1,,,,"National Oceanic and Atmospheric Administration","National Oceanic and Atmospheric Administration, Department of Commerce",noaa-gov,"Tool Catalog",Administrative,"http://alerts.weather.gov/, http://alerts.weather.gov/cap/us.php?x=1",,http://www.weather.gov,http://alerts.weather.gov/,"301-713-1381 x130","Continental United States",,"Observations, radar, web, phone, email, radio","  http://alerts.weather.gov/","  http://alerts.weather.gov/","NOAA NWS ",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"NOAA Watch Web Widgets ","This site contains widgets, etc.  that  display: weather warnings and forecasts; weather maps; SST; UV; and Heat  Indexes; Tropical Weather Outlooks; International Disaster reports; drought; , radar; track river levels; lake levels; drought;  air quality; coral bleaching; earthquakes; excessive heat, fire weather, flooding, harmful algal blooms, hurricanes, storm surge, oil and chemical spiils, rip currents, severe weather; space weather; tsunamis: volcanoes, winter weather, and with content provided by NOAA. The widgets will update as NOAA updates information.","federal widgets, NOAAWatch,  river levels, flooding, weather forecasts, weather warnings, weather maps, sea surface temperature, ultra-violet  heat, indexes,  tropical weather, international,  disaster , drought,  radar,  river levels,  lake levels,  air quality, coral bleaching,  earthquakes,  heatwaves, fire weather,  harmful algal blooms, hurricanes, storm surge,  oil spills, chemical spills,  rip currents,  severe weather,  space weather,  tsunamis,  volcanoes, winter weather   ",Present,"Department of Commerce",Unknown,noaawatch@noaa.gov,DOC-113,public,,http://www.noaawatch.gov/widgets/,,,,"United States ","1989- Present ",6/13/2006,Hourly,,,,"Section 6. Geography and Environment","http://www.noaawatch.gov ",Array,,,,,"National Oceanic and Atmospheric Administration","National Oceanic and Atmospheric Administration, Department of Commerce",noaa-gov,"Tool Catalog",Widget,http://www.noaawatch.gov/widgets/,,"http://www.noaa.gov ",http://www.noaawatch.gov/widgets/,N/A,"Varied ",,,,,"US Department of Commerce/National Oceanic and Atmospheric Administration",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Air Quality Forecast Guidance","NOAA's National Weather Service National Air Quality Forecast System (AQFS) Graphic Forecast displays (http://www.weather.gov/aq) are web based presentations of gridded forecast guidance originating from the National Centers for Environmental Prediction (NCEP). Ozone and smoke data are displayed for a domain covering contiguous United States, Alaska and Hawaii.  Ozone is shown as 1-hour and 8-hour average concentrations(in parts per billion or ppb), and smoke concentration in 1-hour averages, updated twice daily.  Fire locations are provided by the NOAA's Satellite and Information Service Hazard Mapping System.  Additional information on air quailty can be found under EPA's AIRNow site.     For further information, please visit NOAA's Air Resources  Laboratory web site (http://www.arl.noaa.gov).","particulates, air, quality, pollution, ozone, health, prediction, smoke, forecast",2010,"Department of Commerce","Paula Davidson",paula.davidson@noaa.gov,DOC-2008,public,,http://www.weather.gov/aq,Tool,,,"CONUS, Alaska, Hawaii","Each hour in the forecast period between 1 and 48 hours ahead",2004,"Twice daily",,"Latitude/Longitude pair ",,"Section 6. Geography and Environment",http://www.nws.noaa.gov/ost/air_quality/,Array,.01,,,,"National Oceanic and Atmospheric Administration","National Oceanic and Atmospheric Administration, Department of Commerce",noaa-gov,"Tool Catalog",Other,"http://www.weather.gov/aq ",,http://www.weather.gov/aq,http://www.weather.gov/aq,301-713-3557,"Locality or Latitude/Longitude coordinates nationwide",,"model-generated ",http://www.nws.noaa.gov/ost/air_quality/,,"National Oceanic and Atmospheric Administration ",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Legislative Atlas- Spatial Representations of Select Federal and State Legislation, Agency and Jurisdictional Planning Areas, Regions, and Districts Relevant to US Coastal Areas","The NOAA Coastal Services Center's Legislative Atlas is a regional geographic information system (GIS) that provides spatial data for state and federal coastal and ocean management laws and the jurisdictional boundaries of management agencies.  There are a growing number of regional collaborations among federal, state, and local agencies to address coastal management issues that cut across existing political and jurisdictional boundaries.  To support regional management efforts, the Coastal Services Center has developed geographic representations of key state and federal legislation and the jurisdictional boundaries of state and federal management agencies.  Federal legislation includes the Clean Water Act, Endangered Species Act, National Environmental Policy Act, Coastal Zone Management Act, Outer Continental Shelf Lands Act, Marine Mammal Protection Act, Submerged Lands Act, Marine Plastics Pollution Research and Control Act, Magnuson-Stevens Fishery Conservation Act, and the Comprehensive Environmental Response, Compensation and Liability Act.  State and Federal agency jurisdictions include Minerals Management Service planning areas, Environmental Protection Agency regions, National Marine Fishery Service regions, National Park Service regions, Federal Emergency Management Agency regions, Fishery Management Council regions, U.S. Fish and Wildlife Service regions, U.S. Coast Guard districts, U.S. Army Corp of Engineers Civil Works districts, and U.S. Army Corp of Engineers Regulatory boundaries.","regional marine GIS, coastal and marine spatial planning, Geographic Information System, regional geographic data, ocean planning, ocean policy, legislation, clean water act, endangered species act, national environmental policy act, coastal zone management act, outer continental shelf lands act, marine mammal protection act, submerged lands act, marine plastics pollution research and control act, magnuson-stevens fishery conservation act, comprehensive environmental response, compensation and liability act, minerals management service planning areas, environmental protection agency regions, national marine fishery service regions, national park service regions, federal emergency management agency regions, fishery management council regions, U.S. fish and wildlife service regions, U.S. coast guard districts, U.S. army corp of engineers civil works districts, U.S. army corp of engineers regulatory boundaries, Marine Boundaries ",6/1/09,"Department of Commerce","Cindy Fowler",cindy.fowler@noaa.gov,DOC-2204,public,http://csc-s-maps-q.csc.noaa.gov/legislativeatlas/about.html,http://csc-s-maps-q.csc.noaa.gov/legislativeatlas/index.html,"Shapefile, KML/KMZ",,,"U.S., Continental U.S., Coastal Zone, EEZ",2000-2009,12/31/06,one-time,,,,"Section 6. Geography and Environment",http://csc-s-maps-q.csc.noaa.gov/legislativeatlas/about.html,Array,N/A,,,,"National Oceanic and Atmospheric Administration","National Oceanic and Atmospheric Administration, Department of Commerce",noaa-gov,"Tool Catalog",Geospatial,"http://csc-s-maps-q.csc.noaa.gov/legislativeatlas/index.html ",,http://www.csc.noaa.gov,"http://csc-s-maps-q.csc.noaa.gov/legislativeatlas/index.html ",843-740-1249,"laws and regulations",,person/computer,http://csc-s-maps-q.csc.noaa.gov/legislativeatlas/about.html,http://csc-s-maps-q.csc.noaa.gov/legislativeatlas/about.html,"National Oceanic and Atmospheric Administration",Yes,Yes,1000,,,,,,,,,,,N,N,Y,"Furthers the core mission of the agency",
"High Resolution Orthoimagery for Select Coastal States ","The NOAA Coastal Services Center, in partnership with federal, state, and local governments, has acquired numerous high-resolution imagery data sets of coastal areas. The high-resolution data sets represent imagery collected from multiple aerial data sources, including digital and frame cameras. The images were originally acquired to support a number of projects, including mapping of upland and wetland habitats, mapping of benthic and submerged aquatic vegetation habitats, and as a pre-hurricane baseline data source. The high-resolution data sets were collected to support projects with state and local partners. The areas of coverage are relatively small and do not represent statewide or contiguous coverage of all coastal areas.","high resolution, orthoimagery, coast, imagery, wetlands, submerged aquatic vegetation, SAV, benthic habitats",01/01/08,"Department of Commerce","Kirk Waters",kirk.waters@noaa.gov,DOC-2205,public,http://www.csc.noaa.gov/digitalcoast/data/highresortho/index.html,http://www.csc.noaa.gov/dataviewer/index.html?action=advsearch&qType=like&qFld=datatype&qVal=%25imagery%25#,GeoTIFF,,,"Coastal Connecticut, Texas, Florida, South Carolina, North Carolina, and Long Island, New York","2002-2006, 2008",01/01/08,"as needed",,"vary from .25 meters to 1 meter",,"Section 6. Geography and Environment",http://www.csc.noaa.gov/digitalcoast/data/highresortho/index.html,Array,"Varies ",,,,"National Oceanic and Atmospheric Administration","National Oceanic and Atmospheric Administration, Department of Commerce",noaa-gov,"Tool Catalog",Geospatial,http://www.csc.noaa.gov/dataviewer/index.html?action=advsearch&qType=like&qFld=datatype&qVal=%25imagery%25#,,http://www.csc.noaa.gov,http://www.csc.noaa.gov/dataviewer/index.html?action=advsearch&qType=like&qFld=datatype&qVal=%25imagery%25#,883-740-1227,imagery,,"Remote Sensing",http://www.csc.noaa.gov/digitalcoast/data/highresortho/support.html,http://www.csc.noaa.gov/digitalcoast/data/highresortho/index.html,"National Oceanic and Atmospheric Administration",Yes,"Not Relevant",10,,,,,,,,,,,N,N,Y,"Furthers the core mission of the agency",
"NOAA's Coastal Change Analyis Program (C-CAP) Regional Land Cover Data","The Coastal Change Analysis Program (C-CAP) is developing a nationally standardized database on land cover and habitat change in the coastal regions of the United States. C-CAP inventories wetland habitats and adjacent uplands and monitors changes in these habitats on a 1 to 5 year cycle. The monitoring cycle will vary according to the rate and magnitude of change in each geographic region. Satellite imagery (primarily Landsat Thematic Mapper), aerial photography, and field data are interpreted, classified, analyzed, and integrated with other digital data in a geographic information system (GIS). The resulting land cover change databases are disseminated in digital form for use by anyone wishing to conduct geographic analysis in the completed regions.","Land Cover Analysis, Change Detection Analysis, C-CAP, land cover, coastal zone, change detection, satellite image classification, landscape, habitat, Environmental Monitoring ",N/A,"Department of Commerce","Kirk Waters",kirk.waters@noaa.gov,DOC-2206,public,http://www.csc.noaa.gov/digitalcoast/data/ccapregional/index.html,"http://csc-s-maps-q.csc.noaa.gov/dataviewer/viewer.html?keyword=land cover",GeoTIFF,,,"United States, US Coastline, Great Lakes and US Territories",1984-Present,1984,"Every 5 years as needed",,"30 meters",,"Section 6. Geography and Environment",http://www.csc.noaa.gov/digitalcoast/data/ccapregional/index.html,Array,Varies,,,,"National Oceanic and Atmospheric Administration","National Oceanic and Atmospheric Administration, Department of Commerce",noaa-gov,"Tool Catalog",Geospatial,"http://csc-s-maps-q.csc.noaa.gov/dataviewer/viewer.html?keyword=land cover",,http://www.csc.noaa.gov,"http://csc-s-maps-q.csc.noaa.gov/dataviewer/viewer.html?keyword=land cover",843-740-1277,"land cover",,"Remote sensing",http://www.csc.noaa.gov/digitalcoast/data/ccapregional/index.html,http://www.csc.noaa.gov/digitalcoast/data/ccapregional/index.html,"National Oceanic and Atmospheric Administration",Yes,"Not Relevant",225,,,,,,,,,,,N,N,Y,"Furthers the core mission of the agency",
"Historical North Atlantic and Eastern North Pacific Tropical Cyclone Tracks, 1851-2009","This Historical North Atlantic and Eastern North Pacific Tropical Cyclone Tracks file contains the 6-hourly (0000, 0600, 1200, 1800 UTC) center locations and intensities for all subtropical depressions and storms, extratropical storms, tropical lows, waves, disturbances, depressions and storms, and all hurricanes, from 1842 up until the  last complete season.  These data are intended for geographic display and analysis at the national level, and for large regional areas. The data should be displayed and analyzed at scales appropriate for 1:2,000,000-scale data. No responsibility is assumed by the National Oceanic and Atmospheric Administration in the use of these data. ","Hurricanes, Historical hurricanes, Hurricane tracks, Historical hurricane tracks, Tropical storms, Subtropical storms, Subtropical depressions, Tropical depressions, Tropical disturbances, Tropical waves, Tropical lows, Extratropical storms, Major hurricanes, Intense hurricanes, Tropical storm tracks, Historical tropical cyclone tracks, Tropical cyclones, Subtropical cyclones ","Last complete season","Department of Commerce","James Boyd ",james.boyd@noaa.gov,DOC-2207,public,http://www.csc.noaa.gov/hurricanes/,http://www.csc.noaa.gov/hurricanes/,Shapefile,,,"United States, Atlantic, North Atlantic Basin, Gulf of Mexico, Caribbean Sea, Pacific Islands, Eastern North Pacific Basin","1842-Last complete season",03/01/10,Yearly,,,,"Section 6. Geography and Environment",http://www.csc.noaa.gov/hurricanes/,Array,Varies,,,,"National Oceanic and Atmospheric Administration","National Oceanic and Atmospheric Administration, Department of Commerce",noaa-gov,"Tool Catalog",Geospatial,www.csc.noaa.gov/hurricanes/,,http://www.csc.noaa.gov,http://www.csc.noaa.gov/hurricanes/,843-740-1278,"storm track",,N/A,http://www.csc.noaa.gov/hurricanes/,http://www.csc.noaa.gov/hurricanes/,"National Oceanic and Atmospheric Administration",Yes,"Not Relevant",3,,,,,,,,,,,N,N,Y,"Responds to need and demand as identified through public consultation",
"RSS Feeds for Data Buoys ","The National Weather Service (NWS) National Data Buoy Center uses RSS feeds to disseminate buoy station observations.  These RSS feeds are regularly updated to include: wind direction and speed; wind gusts; wave height; dominant wave period; average period; mean wave direction; atmospheric pressure; pressure tendency; air temperature; water temperature; dew point; visibility; and tide. ","buoy, winds, gusts, waves, pressure, temperature, dewpoint, visibility, tide",2010,"Department of Commerce","Kevin Kern",Kevin.Kern@noaa.gov,DOC-2242,public,"http://www.ndbc.noaa.gov/measdes.shtml ",http://www.ndbc.noaa.gov/rss_access.shtml,RSS,,,"Bounding Coordinates: -180.0, 180.0,  70.0, - 50.0",present,2007,minutes,,,,"Section 6. Geography and Environment","http://www.ndbc.noaa.gov/faq.shtml ",Array,N/A,,,,"National Oceanic and Atmospheric Administration","National Oceanic and Atmospheric Administration, Department of Commerce",noaa-gov,"Tool Catalog",Surveillance,http://www.ndbc.noaa.gov/rss_access.shtml,,http://www.ndbc.noaa.gov,"http://www.ndbc.noaa.gov/rss_access.shtml ",228-688-1721,"buoy stations",,"satellite, web","http://www.ndbc.noaa.gov/measdes.shtml ","http://www.ndbc.noaa.gov/measdes.shtml ","National Oceanic and Atmospheric Administration ",Yes,Yes,1,,,,,,,,,,,Y,Y,Y,,
"NOAA Tide Predictions"," NOAA Tide Predictions* (*http://tidesandcurrents.noaa.gov/tide_predictions.shtml) is a web-based tool that provides official U.S. tide predictions for nearly 3000 locations along with a powerful array of new features. These features enable users to customize many aspects of how tide predictions will be delivered to maximize their utility for whatever application is being supported. NOAA Tide Predictions is the official U.S. source for reliable and accurate tide prediction information that professional and recreational mariners can easily access and use. The information provided by NOAA Tide Predictions contributes to the navigational safety and efficiency of transporting goods, services, and people through the Nation's Marine Transportation System.","tides, prediction, tidal",11/1/2009,"Department of Commerce","COOP User Services Team",tide.predictions@noaa.gov,DOC-2243,public,http://www.tidesandcurrents.noaa.gov/publications/glossary2.pdf,http://www.tidesandcurrents.noaa.gov/tide_predictions.shtml,N/A,,,"Bounding Coordinates:West Bounding Coordinate: -66.0East Bounding Coordinate: 173North Bounding Coordinate: 72South Bounding Coordinate: 13",2004-2010,11/1/2009,"every 6 minutes",,,,"Section 6. Geography and Environment",http://www.tidesandcurrents.noaa.gov/faq2.html,Array,N/A,,,,"National Oceanic and Atmospheric Administration","National Oceanic and Atmospheric Administration, Department of Commerce",noaa-gov,"Tool Catalog",Other,"NOAA/NOS Center for Operational Oceanographic Products and Services(CO-OPS)",,http://www.tidesandcurrents.noaa.gov,http://www.tidesandcurrents.noaa.gov/tide_predictions.shtml,301-713-2815,Tides,,web,http://www.tidesandcurrents.noaa.gov/publications/glossary2.pdf,http://www.tidesandcurrents.noaa.gov/publications/glossary2.pdf,"National Oceanic and Atmospheric Administration ",Yes,Yes,0,,,,,,,,,,,N,N,Y,"Furthers the core mission of the agency",
