title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,dataDictionary,accessURL,format,webService,license,spatial,temporal,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,distribution,size,landingPage,feed,systemOfRecords,subagency,organizationName,organizationId,category,categoryDesignation,bibliographicCitation,comments,agencyProgramURL,agencyDataSeriesURL,phone,analysisUnit,additionalMetadata,collectionMode,collectionInstrument,dictionaryList,QualityResponsibleAgency,guidelineCompliance,confidentiality,numberOfDatasets,licenseRequirement,statisticalMethodology,sampling,estimation,weighting,disclosureAvoidance,questionnaireDesign,seriesBreaks,nonResponseAdjustment,seasonalAdjustment,isOGD,isAgencyOGD,isHighValue,reasonBeingHighValue,reasonBeingNew
"American Forces Press Service News Widget","The AFPS News widget makes it easy for anyone with a Web site, blog or social networking page to carry the latest AFPS articles on their site. The widget works through an XML stream to allow Web sites to carry the latest official news and information about the Defense Department.","DoD, Defense, Defence, Army, Navy, Air Force, Marines, Marine Corps, Coast Guard, USN, USAF, USMC, USCG, military, soldier, news, pentagon, photographs, publications, American Forces Press Service, AFPS",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8232",,DOD-475,public,,http://www.defenselink.mil/home/features/widgets/,RSS,,,International,,1-May-09,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.defenselink.mil"">http://www.defenselink.mil</a>","<a href=""http://www.defenselink.mil/home/features/widgets/"">http://www.defenselink.mil/home/features/widgets/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"American Forces Press Service News","An RSS feed documenting news articles from  the American Forces Press Service.","DoD, Defense, Defence, Army, Navy, Air Force, Marines, Marine Corps, Coast Guard, USN, USAF, USMC, USCG, military, soldier, news, pentagon, photographs, publications, American Forces Press Service, AFPS",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8233",,DOD-476,public,,http://www.defenselink.mil/news/afps2.xml,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.defenselink.mil"">http://www.defenselink.mil</a>","<a href=""http://www.defenselink.mil/news/rss/"">http://www.defenselink.mil/news/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Department of Defense Press Advisories","An RSS feed documenting Defense Department media events, briefings, publications and other opportunities.","DoD, Defense, Defence, Army, Navy, Air Force, Marines, Marine Corps, Coast Guard, USN, USAF, USMC, USCG, military, soldier, news, pentagon, photographs, publications, media, briefings, press, advisories",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8234",,DOD-477,public,,http://www.defenselink.mil/news/rss_advisories2.xml,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.defenselink.mil"">http://www.defenselink.mil</a>","<a href=""http://www.defenselink.mil/news/rss/"">http://www.defenselink.mil/news/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Department of Defense News Releases","An RSS feed documenting official statements of the Department of Defense.","DoD, Defense, Defence, Army, Navy, Air Force, Marines, Marine Corps, Coast Guard, USN, USAF, USMC, USCG, military, soldier, news, pentagon, official statement",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8235",,DOD-478,public,,http://www.defenselink.mil/news/rss_releases2.xml,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.defenselink.mil"">http://www.defenselink.mil</a>","<a href=""http://www.defenselink.mil/news/rss/"">http://www.defenselink.mil/news/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Department of Defense Contract Announcements","An RSS feed documenting Defense Department contracts valued at $5 million or more.","DoD, Defense, Defence, Army, Navy, Air Force, Marines, Marine Corps, Coast Guard, USN, USAF, USMC, USCG, military, soldier, news, pentagon,  contract",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8236",,DOD-479,public,,http://www.defenselink.mil/news/rss_contracts2.xml,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.defenselink.mil"">http://www.defenselink.mil</a>","<a href=""http://www.defenselink.mil/news/rss/"">http://www.defenselink.mil/news/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Department of Defense News Transcripts","An RSS feed documenting transcripts of  news briefings and significant interviews of the Defense Department.","DoD, Defense, Defence, Army, Navy, Air Force, Marines, Marine Corps, Coast Guard, USN, USAF, USMC, USCG, military, soldier, news, pentagon, briefing, interview, transcript",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8237",,DOD-480,public,,http://www.defenselink.mil/news/rss_transcripts2.xml,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.defenselink.mil"">http://www.defenselink.mil</a>","<a href=""http://www.defenselink.mil/news/rss/"">http://www.defenselink.mil/news/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Department of Defense Blogger's Roundtable","An RSS feed documenting The Bloggers Roundtable, an audio webcast that connects bloggers and online journalists with Defense Department civilians, military leaders and subject matter experts. The Roundtable provides source material where available, including audio, photo, video, transcripts, biographies and related fact sheets.","DoD, Defense, Defence, Army, Navy, Air Force, Marines, Marine Corps, Coast Guard, USN, USAF, USMC, USCG, military, soldier, news, pentagon, interview, blogger, blog, social media, online, podcast",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8238",,DOD-481,public,,http://www.defenselink.mil/news/rss_blogger.xml,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.defenselink.mil"">http://www.defenselink.mil</a>","<a href=""http://www.defenselink.mil/news/rss/"">http://www.defenselink.mil/news/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Department of Defense Speeches","An RSS feed documenting Defense Department speeches. ","DoD, Defense, Defence, Army, Navy, Air Force, Marines, Marine Corps, Coast Guard, USN, USAF, USMC, USCG, military, soldier, news, pentagon, speech",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8239",,DOD-482,public,,http://www.defenselink.mil/news/rss_speeches2.xml,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.defenselink.mil"">http://www.defenselink.mil</a>","<a href=""http://www.defenselink.mil/news/rss/"">http://www.defenselink.mil/news/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Smart Operations for the 21st Century News","An RSS feed documenting news related to Air Force Smart Operations for the 21st Century (AFSO 21), the Air Force's version of Lean Six Sigma. Lean Six Sigma is a civilian business strategy which is designed around the idea of making a product or procedure ""smarter, faster and cheaper.""","DoD, Defense, Defence, Air Force, USAF, military, news, pentagon, plane, airplane, aircraft, flight, pilot, Lean Six Sigma,  Smart Operations for the 21st Century, AFSO 21, business",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8239",,DOD-483,public,,http://www.af.mil/rss/TopStoriesByCategory.asp?catId=248,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"U.S. Air Force Biographies","An RSS feed documenting biographies of Air Force personnel.","DoD, Defense, Defence, Air Force, USAF, military, pentagon, plane, flight, pilot, biographies",,"Department of Defense","Director of Public Web, Defense Media Activity, Office of the Assistant Secretary of Defense for Public Affairs, pubwebhd@dma.mil, 703-325-8240",,DOD-484,public,,http://www.af.mil/rss/Biographies.asp,RSS,,,International,,,"As occurring",,,,"Section 10. National Security and Veterans Affairs",,Array,"20 KB",,,,,"Department of Defense",dod-gov,"Tool Catalog",Administrative,,,"<a href=""http://www.af.mil/"">http://www.af.mil/</a>","<a href=""http://www.af.mil/rss/"">http://www.af.mil/rss/</a>",,N/A,,,,,"U.S. Department of Defense",Yes,Yes,0,,,,,,,,,,,N,N,N,,
