title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,dataDictionary,accessURL,format,webService,license,spatial,temporal,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,distribution,size,landingPage,feed,systemOfRecords,subagency,organizationName,organizationId,category,categoryDesignation,bibliographicCitation,comments,agencyProgramURL,agencyDataSeriesURL,phone,analysisUnit,additionalMetadata,collectionMode,collectionInstrument,dictionaryList,QualityResponsibleAgency,guidelineCompliance,confidentiality,numberOfDatasets,licenseRequirement,statisticalMethodology,sampling,estimation,weighting,disclosureAvoidance,questionnaireDesign,seriesBreaks,nonResponseAdjustment,seasonalAdjustment,isOGD,isAgencyOGD,isHighValue,reasonBeingHighValue,reasonBeingNew
"USA Spending Contracts and Purchases","Provides US Federal Spending by agency. The Contracts section allows searching for data relating to all Federal contracts. There are three main categories of searches: by contractor, by location, and by contracting agency. The Purchase section allows users to view purchase cards spending of various federal agencies for each fiscal year. The data available on this website are extracted from the report published once every quarter on the GSA SmartPay website. The GSA SmartPay receives this data directly from the banks that issued the purchase cards.","Federal contracts, Contracts, Awards, Grants, Loans, Assistance, Purchase Cards, GSASmartPay, GSA SmartPay, USASpending, USA Spending, Purchase, Travel, Fleet, contractor, contracting agency, American Recovery and Reinvestment Act, Recovery Act, ARRA, Top 100 contractors, federal assistance,  insurance, direct payments, recipient, place of performance, Top 100 Recipients, acquisition, transaction, Original Subsidy Cost, Face Value, Direct Loan, Guaranteed Loan, FPDS, Federal Procurement Data System, FAADS,  Federal Assistance Award Data System",2009,"General Services Administration","Arthur Brunson",Arthur.Brunson@GSA.gov,GSA-132,public,,http://www.usaspending.gov/data?carryfilters=on,tool,,,"US.Government wide",2009,2008,Monthly,,"zip code",,"Section 9. Federal Government Finances and Employment",http://www.usaspending.gov/data?carryfilters=on&tab=API,Array,0,,,,"Office of Governmentwide Policy","Office of Governmentwide Policy, General Services Administration",ogp-gsa-gov,"Tool Catalog",Administrative,"USA Spending http://www.usaspending.gov/learn?tab=Sources%20of%20Data",,http://www.usaspending.gov/,http://www.usaspending.gov/data?carryfilters=on,202-501-1126,"Federal Contracts Grants",,Person/computer,http://www.usaspending.gov/learn?tab=Sources%20of%20Data,,"Each Federal Agency",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"USA Spending Grants and Loans","Provides US Federal Spending by agency. The Grants section allows visitors to search for information about federal assistance; including grants, insurance, direct payments, and other. Information about federal loan spending can be found on the Loans section, which allows visitors to search for information about different federal loan categories, including Direct Loans and Guaranteed Loans.","Federal contracts, Contracts, Awards, Grants, Loans, Assistance, Purchase Cards, GSASmartPay, GSA SmartPay, USASpending, USA Spending, Purchase, Travel, Fleet, contractor, contracting agency, American Recovery and Reinvestment Act, Recovery Act, ARRA, Top 100 contractors, federal assistance,  insurance, direct payments, recipient, place of performance, Top 100 Recipients, acquisition, transaction, Original Subsidy Cost, Face Value, Direct Loan, Guaranteed Loan, FPDS, Federal Procurement Data System, FAADS,  Federal Assistance Award Data System",2009,"General Services Administration","Arthur Brunson",Arthur.Brunson@GSA.gov,GSA-133,public,,http://www.usaspending.gov/data?carryfilters=on,tool,,,"US.Government wide",2009,2008,Monthly,,"zip code",,"Section 9. Federal Government Finances and Employment",http://www.usaspending.gov/data?carryfilters=on&tab=API,Array,0,,,,"Office of Governmentwide Policy","Office of Governmentwide Policy, General Services Administration",ogp-gsa-gov,"Tool Catalog",Administrative,"USA Spending http://www.usaspending.gov/learn?tab=Sources%20of%20Data",,http://www.usaspending.gov/,http://www.usaspending.gov/data?carryfilters=on,202-501-1126,"Federal Contracts Grants",,Person/computer,http://www.usaspending.gov/learn?tab=Sources%20of%20Data,,"Each Federal Agency",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Federal Advisory Committee Act (FACA) Database-Complete-Raw","The Federal Advisory Committee Act (FACA) database is used by Federal agencies to continuously manage an average of 1,000 advisory committees government-wide ' This database is also used by the Congress to perform oversight of related Executive Branch programs and by the public, the media, and others, to stay abreast of important developments resulting from advisory committee activities.   Although centrally supported by the General Services Administration's Committee Management Secretariat, the database represents a true ""shared system"" wherein each participating agency and individual committee manager has responsibility for providing accurate and timely information that may be used to assure that the system's wide array of users has access to data required by FACA.","FACA, Federal Advisory Committees, Committee Management Secretariat, Presidential Commissions",31-Dec-2008,"General Services Administration","Kennett F. Fussell, Jr., Ed.D.",kennett.fussell@gsa.gov,GSA-1157,public,http://www.fido.gov/facadatabase/help.asp,http://www.fido.gov/facadatabase/public.asp,"csv,xml,mdb",,,National,1997-Present,01-Oct-1997,Ongoing,,,,"Section 24. Information and Communications",http://www.fido.gov/facadatabase/help.asp,Array,425.0,,,,"Office of Governmentwide Policy","Office of Governmentwide Policy, General Services Administration",ogp-gsa-gov,"Tool Catalog",Administrative,http://www.gsa.gov/faca,,http://www.gsa.gov/faca,http://www.fido.gov/facadatabase/public.asp,202-273-3567,"Individual Advisory Committee",http://www.fido.gov/facadatabase/help.asp,Computer,"Web Application",http://www.fido.gov/facadatabase/help.asp,"General Services Administration",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"Federal Advisory Committee Act (FACA) Data-2008","FACA Data collected and verified for FY 2008. The Federal Advisory Committee Act (FACA) database is used by Federal agencies to continuously manage an average of 1,000 advisory committees government-wide.  This database is also used by the Congress to perform oversight of related Executive Branch programs and by the public, the media, and others, to stay abreast of important developments resulting from advisory committee activities.   Although centrally supported by the General Services Administration's Committee Management Secretariat, the database represents a true ""shared system"" wherein each participating agency and individual committee manager has responsibility for providing accurate and timely information that may be used to assure that the system's wide array of users has access to data required by FACA.","FACA, Federal Advisory Committees, Committee Management Secretariat, Presidential Commissions",31-Dec-2008,"General Services Administration","Kennett F. Fussell, Jr., Ed.D.",kennett.fussell@gsa.gov,GSA-1158,public,http://www.fido.gov/facadatabase/help.asp,http://transfer.fido.gov/facadatabase/FACAData2008.zip,MDB,,,National,"Fiscal Year 2008",01-Oct-2007,Ongoing,,,,"Section 24. Information and Communications",http://www.fido.gov/facadatabase/help.asp,Array,7,,,,"Office of Governmentwide Policy","Office of Governmentwide Policy, General Services Administration",ogp-gsa-gov,"Tool Catalog",Administrative,http://www.gsa.gov/faca,,http://www.gsa.gov/faca,http://transfer.fido.gov/facadatabase,202-273-3567,"Individual Advisory Committee",http://www.fido.gov/facadatabase/help.asp,Computer,"Web Application",http://www.fido.gov/facadatabase/help.asp,"General Services Administration",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"Federal Advisory Committee Act (FACA) Data-2007","FACA Data collected and verified for FY 2007. The Federal Advisory Committee Act (FACA) database is used by Federal agencies to continuously manage an average of 1,000 advisory committees government-wide.  This database is also used by the Congress to perform oversight of related Executive Branch programs and by the public, the media, and others, to stay abreast of important developments resulting from advisory committee activities.   Although centrally supported by the General Services Administration's Committee Management Secretariat, the database represents a true ""shared system"" wherein each participating agency and individual committee manager has responsibility for providing accurate and timely information that may be used to assure that the system's wide array of users has access to data required by FACA.","FACA, Federal Advisory Committees, Committee Management Secretariat, Presidential Commissions",31-Dec-2007,"General Services Administration","Kennett F. Fussell, Jr., Ed.D.",kennett.fussell@gsa.gov,GSA-1159,public,http://www.fido.gov/facadatabase/help.asp,http://transfer.fido.gov/facadatabase/FACAData2007.zip,MDB,,,National,"Fiscal Year 2007",01-Oct-2006,Ongoing,,,,"Section 24. Information and Communications",http://www.fido.gov/facadatabase/help.asp,Array,7,,,,"Office of Governmentwide Policy","Office of Governmentwide Policy, General Services Administration",ogp-gsa-gov,"Tool Catalog",Administrative,http://www.gsa.gov/faca,,http://www.gsa.gov/faca,http://transfer.fido.gov/facadatabase,202-273-3567,"Individual Advisory Committee",http://www.fido.gov/facadatabase/help.asp,Computer,"Web Application",http://www.fido.gov/facadatabase/help.asp,"General Services Administration",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"Federal Advisory Committee Act (FACA) Data-2006","FACA Data collected and verified for FY 2006. The Federal Advisory Committee Act (FACA) database is used by Federal agencies to continuously manage an average of 1,000 advisory committees government-wide.  This database is also used by the Congress to perform oversight of related Executive Branch programs and by the public, the media, and others, to stay abreast of important developments resulting from advisory committee activities.   Although centrally supported by the General Services Administration's Committee Management Secretariat, the database represents a true ""shared system"" wherein each participating agency and individual committee manager has responsibility for providing accurate and timely information that may be used to assure that the system's wide array of users has access to data required by FACA.","FACA, Federal Advisory Committees, Committee Management Secretariat, Presidential Commissions",31-Dec-2006,"General Services Administration","Kennett F. Fussell, Jr., Ed.D.",kennett.fussell@gsa.gov,GSA-1160,public,http://www.fido.gov/facadatabase/help.asp,http://transfer.fido.gov/facadatabase/FACAData2006.zip,MDB,,,National,"Fiscal Year 2006",01-Oct-2005,Ongoing,,,,"Section 24. Information and Communications",http://www.fido.gov/facadatabase/help.asp,Array,7,,,,"Office of Governmentwide Policy","Office of Governmentwide Policy, General Services Administration",ogp-gsa-gov,"Tool Catalog",Administrative,http://www.gsa.gov/faca,,http://www.gsa.gov/faca,http://transfer.fido.gov/facadatabase,202-273-3567,"Individual Advisory Committee",http://www.fido.gov/facadatabase/help.asp,Computer,"Web Application",http://www.fido.gov/facadatabase/help.asp,"General Services Administration",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"Federal Advisory Committee Act (FACA) Data-2003","FACA Data collected and verified for FY 2003.  The Federal Advisory Committee Act (FACA) database is used by Federal agencies to continuously manage an average of 1,000 advisory committees government-wide.  This database is also used by the Congress to perform oversight of related Executive Branch programs and by the public, the media, and others, to stay abreast of important developments resulting from advisory committee activities.   Although centrally supported by the General Services Administration's Committee Management Secretariat, the database represents a true ""shared system"" wherein each participating agency and individual committee manager has responsibility for providing accurate and timely information that may be used to assure that the system's wide array of users has access to data required by FACA.","FACA, Federal Advisory Committees, Committee Management Secretariat, Presidential Commissions",31-Dec-2003,"General Services Administration","Kennett F. Fussell, Jr., Ed.D.",kennett.fussell@gsa.gov,GSA-1163,public,http://www.fido.gov/facadatabase/help.asp,http://transfer.fido.gov/facadatabase/FACAData2003.zip,MDB,,,National,"Fiscal Year 2003",01-Oct-2002,Ongoing,,,,"Section 24. Information and Communications",http://www.fido.gov/facadatabase/help.asp,Array,7,,,,"Office of Governmentwide Policy","Office of Governmentwide Policy, General Services Administration",ogp-gsa-gov,"Tool Catalog",Administrative,http://www.gsa.gov/faca,,http://www.gsa.gov/faca,http://transfer.fido.gov/facadatabase,202-273-3567,"Individual Advisory Committee",http://www.fido.gov/facadatabase/help.asp,Computer,"Web Application",http://www.fido.gov/facadatabase/help.asp,"General Services Administration",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"Federal Advisory Committee Act (FACA) Data-2002","FACA Data collected and verified for FY 2002. The Federal Advisory Committee Act (FACA) database is used by Federal agencies to continuously manage an average of 1,000 advisory committees government-wide.  This database is also used by the Congress to perform oversight of related Executive Branch programs and by the public, the media, and others, to stay abreast of important developments resulting from advisory committee activities.   Although centrally supported by the General Services Administration's Committee Management Secretariat, the database represents a true ""shared system"" wherein each participating agency and individual committee manager has responsibility for providing accurate and timely information that may be used to assure that the system's wide array of users has access to data required by FACA.","FACA, Federal Advisory Committees, Committee Management Secretariat, Presidential Commissions",31-Dec-2002,"General Services Administration","Kennett F. Fussell, Jr., Ed.D.",kennett.fussell@gsa.gov,GSA-1164,public,http://www.fido.gov/facadatabase/help.asp,http://transfer.fido.gov/facadatabase/FACAData2002.zip,MDB,,,National,"Fiscal Year 2002",01-Oct-2001,Ongoing,,,,"Section 24. Information and Communications",http://www.fido.gov/facadatabase/help.asp,Array,5,,,,"Office of Governmentwide Policy","Office of Governmentwide Policy, General Services Administration",ogp-gsa-gov,"Tool Catalog",Administrative,http://www.gsa.gov/faca,,http://www.gsa.gov/faca,http://transfer.fido.gov/facadatabase,202-273-3567,"Individual Advisory Committee",http://www.fido.gov/facadatabase/help.asp,Computer,"Web Application",http://www.fido.gov/facadatabase/help.asp,"General Services Administration",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"Federal Advisory Committee Act (FACA) Data-2001","FACA Data collected and verified for FY 2001. The Federal Advisory Committee Act (FACA) database is used by Federal agencies to continuously manage an average of 1,000 advisory committees government-wide.  This database is also used by the Congress to perform oversight of related Executive Branch programs and by the public, the media, and others, to stay abreast of important developments resulting from advisory committee activities.   Although centrally supported by the General Services Administration's Committee Management Secretariat, the database represents a true ""shared system"" wherein each participating agency and individual committee manager has responsibility for providing accurate and timely information that may be used to assure that the system's wide array of users has access to data required by FACA.","FACA, Federal Advisory Committees, Committee Management Secretariat, Presidential Commissions",31-Dec-2001,"General Services Administration","Kennett F. Fussell, Jr., Ed.D.",kennett.fussell@gsa.gov,GSA-1165,public,http://www.fido.gov/facadatabase/help.asp,http://transfer.fido.gov/facadatabase/FACAData2001.zip,MDB,,,National,"Fiscal Year 2001",01-Oct-2000,Ongoing,,,,"Section 24. Information and Communications",http://www.fido.gov/facadatabase/help.asp,Array,5,,,,"Office of Governmentwide Policy","Office of Governmentwide Policy, General Services Administration",ogp-gsa-gov,"Tool Catalog",Administrative,http://www.gsa.gov/faca,,http://www.gsa.gov/faca,http://transfer.fido.gov/facadatabase,202-273-3567,"Individual Advisory Committee",http://www.fido.gov/facadatabase/help.asp,Computer,"Web Application",http://www.fido.gov/facadatabase/help.asp,"General Services Administration",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
"Federal Advisory Committee Act (FACA) Data-2000","FACA Data collected and verified for FY 2000. The Federal Advisory Committee Act (FACA) database is used by Federal agencies to continuously manage an average of 1,000 advisory committees government-wide.  This database is also used by the Congress to perform oversight of related Executive Branch programs and by the public, the media, and others, to stay abreast of important developments resulting from advisory committee activities.   Although centrally supported by the General Services Administration's Committee Management Secretariat, the database represents a true ""shared system"" wherein each participating agency and individual committee manager has responsibility for providing accurate and timely information that may be used to assure that the system's wide array of users has access to data required by FACA.","FACA, Federal Advisory Committees, Committee Management Secretariat, Presidential Commissions",31-Dec-2000,"General Services Administration","Kennett F. Fussell, Jr., Ed.D.",kennett.fussell@gsa.gov,GSA-1166,public,http://www.fido.gov/facadatabase/help.asp,http://transfer.fido.gov/facadatabase/FACAData2000.zip,MDB,,,National,"Fiscal Year 2000",01-Oct-1999,Ongoing,,,,"Section 24. Information and Communications",http://www.fido.gov/facadatabase/help.asp,Array,5,,,,"Office of Governmentwide Policy","Office of Governmentwide Policy, General Services Administration",ogp-gsa-gov,"Tool Catalog",Administrative,http://www.gsa.gov/faca,,http://www.gsa.gov/faca,http://transfer.fido.gov/facadatabase,202-273-3567,"Individual Advisory Committee",http://www.fido.gov/facadatabase/help.asp,Computer,"Web Application",http://www.fido.gov/facadatabase/help.asp,"General Services Administration",Yes,Yes,0,,,,,,,,,,,Y,N,Y,,
