title,description,keyword,modified,publisher,person,mbox,identifier,accessLevel,dataDictionary,accessURL,format,webService,license,spatial,temporal,issued,accrualPeriodicity,language,granularity,dataQuality,theme,references,distribution,size,landingPage,feed,systemOfRecords,subagency,organizationName,organizationId,category,categoryDesignation,bibliographicCitation,comments,agencyProgramURL,agencyDataSeriesURL,phone,analysisUnit,additionalMetadata,collectionMode,collectionInstrument,dictionaryList,QualityResponsibleAgency,guidelineCompliance,confidentiality,numberOfDatasets,licenseRequirement,statisticalMethodology,sampling,estimation,weighting,disclosureAvoidance,questionnaireDesign,seriesBreaks,nonResponseAdjustment,seasonalAdjustment,isOGD,isAgencyOGD,isHighValue,reasonBeingHighValue,reasonBeingNew
"Residential Energy Consumption Survey (RECS) Files, All Data, 2005","The Residential Energy Consumption Survey (RECS), which is conducted every four years, provides national statistical survey data on the use of energy in residential housing units including physical housing unit types, appliances utilized, demographics, fuels, and other energy use information. This dataset (i.e., the full RECS dataset) is very large in size and may require specialized software to open on your computer. The file might not open completely in Excel 2003 or earlier versions. For a subset of the data pertaining only to Energy Consumption component of RECS, please go to: <a href=""/details/59"">http://www.data.gov/details/59</a>","Residential energy consumption data, energy consumption, energy use, Household use of energy, data, federal data download, national, housing, appliances, RECS data, energy, federal datasets, energy data, statistics",2005,"Department of Energy",RECS_data@eia.doe.gov,,DOE-10,public,http://www.eia.doe.gov/emeu/recs/recspubuse05/layoutfiles/RECS05layoutAllData.csv,http://www.eia.doe.gov/emeu/recs/recspubuse05/datafiles/RECS05alldata.csv,TXT(CSV),,,"United States",Annual,1978,Quadrennial,,"RECS data are tabulated for the four Census regions, the nine Census divisions, and for the four most populous States--California, Florida, New York, and Texas.",,"Section 19. Energy and Utilities",http://www.eia.doe.gov/emeu/recs/recspubuse05/pubuse05.html,Array,10.3MB,,,,"Energy Information Administration","Energy Information Administration, Department of Energy",eia-doe-gov,"Raw Data Catalog",Statistical,"<a href=""http://www.eia.doe.gov/emeu/recs/"">http://www.eia.doe.gov/emeu/recs/</a>",,"<a href=""http://www.eia.doe.gov"">http://www.eia.doe.gov</a>","<a href=""http://www.eia.doe.gov/consumption/"">http://www.eia.doe.gov/consumption/</a>",,household,"<a href=""http://www.eia.doe.gov/emeu/recs/recspubuse05/pdf/recs05codebook.pdf"">http://www.eia.doe.gov/emeu/recs/recspubuse05/pdf/recs05codebook.pdf</a>","The survey collected data from 4,382 households sampled at random using a complex multistage, area-probability design to represent 111.1 million U.S. households, the Census Bureau's statistical estimate for all occupied housing units in 2005. Data were obtained from residential energy suppliers for each unit in the sample to produce the Consumption and Expenditures data.","<a href=""http://www.eia.doe.gov/emeu/recs/recs2005/hc2005_tables/2005recshouseholdquex.pdf"">http://www.eia.doe.gov/emeu/recs/recs2005/hc2005_tables/2005recshouseholdquex.pdf</a>","<a href=""http://www.eia.doe.gov/emeu/recs/recspubuse05/layoutfiles/RECS05layoutAllData.csv"">http://www.eia.doe.gov/emeu/recs/recspubuse05/layoutfiles/RECS05layoutAllData.csv</a>",EIA,Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Residential Energy Consumption Survey (RECS) Files, Energy Consumption, 2005","Provides national statistical survey data on the use of energy in residential housing units including physical housing unit types, appliances utilized, demographics, fuels, and other energy use information. This data set features a subset of the full RECS data set and includes data on energy consumption. To view the complete dataset, you may require specialized software on your computer that is designed for manipulating large files. The file might not open completely in Excel 2003 or earlier versions. The complete dataset can be downloaded at: <a href=""/details/10"">http://www.data.gov/details/10</a>","Residential energy consumption data, energy consumption, energy use, Household use of energy data, federal data download, national, housing, appliances, RECS data, energy, federal datasets",2005,"Department of Energy",RECS_data@eia.doe.gov,,DOE-59,public,http://www.eia.doe.gov/emeu/recs/recspubuse05/layoutfiles/RECS05layoutFILE11.csv,http://www.eia.doe.gov/emeu/recs/recspubuse05/datafiles/RECS05file11.csv,,,,"United States",Annual,1978,Quadrennial,,"RECS data are tabulated for the four Census regions, the nine Census divisions, and for the four most populous States--California, Florida, New York, and Texas.",,"Section 19. Energy and Utilities",http://www.eia.doe.gov/emeu/recs/recspubuse05/pubuse05.html,Array,921KB,,,,"Energy Information Administration","Energy Information Administration, Department of Energy",eia-doe-gov,"Raw Data Catalog",Statistical,"<a href=""http://www.eia.doe.gov/emeu/recs/"">http://www.eia.doe.gov/emeu/recs/</a>",,"<a href=""http://www.eia.doe.gov"">www.eia.doe.gov</a>","<a href=""http://www.eia.doe.gov/consumption/"">http://www.eia.doe.gov/consumption/</a>",,household,"<a href=""http://www.eia.doe.gov/emeu/recs/recspubuse05/pdf/recs05codebook.pdf"">http://www.eia.doe.gov/emeu/recs/recspubuse05/pdf/recs05codebook.pdf</a>","The survey collected data from 4,382 households sampled at random using a complex multistage, area-probability design to represent 111.1 million U.S. households, the Census Bureaufs statistical estimate for all occupied housing units in 2005. Data were obtained from residential energy suppliers for each unit in the sample to produce the Consumption and Expenditures data.","<a href=""http://www.eia.doe.gov/emeu/recs/recs2005/hc2005_tables/2005recshouseholdquex.pdf"">http://www.eia.doe.gov/emeu/recs/recs2005/hc2005_tables/2005recshouseholdquex.pdf</a>","<a href=""http://www.eia.doe.gov/emeu/recs/recspubuse05/layoutfiles/RECS05layoutFILE11.csv"">http://www.eia.doe.gov/emeu/recs/recspubuse05/layoutfiles/RECS05layoutFILE11.csv</a>",,Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Refiner Petroleum Product Prices by Sales Type","Petroleum Prices by Sales Type for end users and resale by month","Petroleum Product Prices, Prices of Gas, Motor Gasoline Prices, Oil Prices, Kerosene, Propone, Fuel Oil, Aviation Gasoline, Jet Fuel, Energy","4/1/2009; updated monthly by product type","Department of Energy","Gina Pearson gina.pearson@hq.doe.gov 202-586-6537 ",,DOE-472,public,http://tonto.eia.doe.gov/dnav/pet/TblDefs/pet_pri_refoth_tbldef2.asp,http://tonto.eia.doe.gov/dnav/pet/xls/PET_PRI_REFOTH_DCU_NUS_M.xls,.XLS,,,U.S.,"Monthly Data updates","Depends on petroleum product refined; some types as early as Jul/1975",Monthly,,,,"Section 19. Energy and Utilities",http://tonto.eia.doe.gov/dnav/pet/TblDefs/pet_pri_refoth_tbldef2.asp,Array,".138 MB",,,,"Energy Information Administration","Energy Information Administration, Department of Energy",eia-doe-gov,"Raw Data Catalog",Statistical,"<a href=""http://tonto.eia.doe.gov/dnav/pet/pet_pri_refoth_dcu_nus_m.htm"">http://tonto.eia.doe.gov/dnav/pet/pet_pri_refoth_dcu_nus_m.htm</a>",,"<a href=""http://www.eia.doe.gov/oil_gas/petroleum/info_glance/petroleum.html"">http://www.eia.doe.gov/oil_gas/petroleum/info_glance/petroleum.html</a>","<a href=""http://tonto.eia.doe.gov/dnav/pet/pet_pri_refoth_dcu_nus_m.htm"">http://tonto.eia.doe.gov/dnav/pet/pet_pri_refoth_dcu_nus_m.htm</a> ",,"Monthly Prices","<a href=""http://tonto.eia.doe.gov/dnav/pet/TblDefs/pet_pri_refoth_tbldef2.asp"">http://tonto.eia.doe.gov/dnav/pet/TblDefs/pet_pri_refoth_tbldef2.asp</a>","January 1983 forward: Energy Information Administration, Form EIA-782A, ""Refiners'/Gas Plant Operators' Monthly Petroleum Product Sales Report"" ( Form/Instructions, Background, Survey Methodology and Statistical Details ). Prior to January 1983, backcast estimates based on Form EIA-460, ""Petroleum Industry Monthly Report for Product Prices"".","<a href=""http://www.eia.doe.gov/oss/forms.html#eia-782a"">http://www.eia.doe.gov/oss/forms.html#eia-782a</a>","<a href=""http://tonto.eia.doe.gov/dnav/pet/TblDefs/pet_pri_refoth_tbldef2.asp"">http://tonto.eia.doe.gov/dnav/pet/TblDefs/pet_pri_refoth_tbldef2.asp</a>","Energy Information Administration",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Annual Electric Generator Report","This is a generator level data file that includes specific information about generators at electric power plants owned and operated by electric utilities and nonutilities (including independent power producers, combined heat and power producers, and other industrials). The file contains generator-specific information such as initial date of commercial operation, prime movers, generating capacity, energy sources, status of existing and proposed generators, proposed changes to existing generators, county and State location (including power plant address), ownership, and FERC qualifying facility status. Also included are data related to the ability to use multiple fuels; specifically, data on co-firing and fuel switching are included.","annual data, utility, plants, electric generator, EIA-860, in-service date, energy source, nameplate capacity, summer capability,  winter capability, capacity, summer capacity, winter capacity, fuel switching, nonutility, nonutility capacity, proposed capacity, proposed generators, proposed plants, combined heat and power generator, electric utility, generator, generator retirement date, planned capacity, Department of Energy, DOE","February 2009","Department of Energy","Please contact the Energy Information Administration's POC about this.",,DOE-858,public,"http://www.eia.doe.gov/cneaf/electricity/forms/eia860.pdf ",http://www.eia.doe.gov/pub/electricity/f860y07.zip,.XLS,,,"All 50 States and the District of Columbia",2007,1986,annual,,State,,"Section 19. Energy and Utilities",http://www.eia.doe.gov/cneaf/electricity/forms/eia860.pdf,Array,"3.301 MB",,,,"Energy Information Administration","Energy Information Administration, Department of Energy",eia-doe-gov,"Raw Data Catalog",Statistical,"<a href=""http://www.eia.doe.gov/cneaf/electricity/page/eia860.html"">http://www.eia.doe.gov/cneaf/electricity/page/eia860.html</a>",,"<a href=""http://www.eia.doe.gov/fuelelectric.html"">http://www.eia.doe.gov/fuelelectric.html</a>","<a href=""http://www.eia.doe.gov/cneaf/electricity/page/eia860.html"">http://www.eia.doe.gov/cneaf/electricity/page/eia860.html</a>",,"Electric generating plants",,"Energy Information Administration Form EIA-860, Annual Electric Generator Report","<a href=""http://www.eia.doe.gov/cneaf/electricity/forms/eia860.pdf"">http://www.eia.doe.gov/cneaf/electricity/forms/eia860.pdf</a>","<a href=""http://www.eia.doe.gov/cneaf/electricity/forms/eia860.pdf"">http://www.eia.doe.gov/cneaf/electricity/forms/eia860.pdf</a> ","Energy Information Administration",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"International Energy Statistics ","Country specific data by year, month and quarter.  Most data are available back to 1980. Fuel production, consumption, imports, exports, capacity, stocks, emissions, heat contents, and conversion factors; as well as population, as available for all fuels and countries. ","international energy statistics by country, energy production, energy consumption, fuel stocks, reserves, oil reserves, coal reserves, natural gas reserves, imports, exports, CO2 emissions, carbon emissions, heat content, biofuels, renewable fuel, electricity, generation, OPEC oil supply, OPEC oil production,  OECD oil supply, OECD oil production, oil, petroleum, natural gas, coal, Department of Energy, DOE ","Updated monthly and quarterly for some data, annual for others","Department of Energy","Gina Pearson, EIA POC",gina.pearson@eia.gov,DOE-860,public,http://www.eia.gov/cfapps/ipdbproject/docs/IPMNotes.html,http://www.eia.gov/cfapps/ipdbproject/IEDIndex3.cfm,.xls,,,World,"Monthly, quarterly, and annual data updates","January 2009","Monthly, quarterly, and annual for selected series",,Country,,"Section 19. Energy and Utilities","http://www.eia.gov/cfapps/ipdbproject/docs/IPMNotes.html; http://www.eia.gov/cfapps/ipdbproject/docs/sources.cfm",Array,depends,,,,"Energy Information Administration","Energy Information Administration, Department of Energy",eia-doe-gov,"Tool Catalog",Statistical,http://www.eia.gov/cfapps/ipdbproject/IEDIndex3.cfm,,http://www.eia.gov/countries/,http://www.eia.gov/cfapps/ipdbproject/IEDIndex3.cfm,202-586-6537,Country,"http://www.eia.gov/cfapps/ipdbproject/docs/IPMNotes.html; http://www.eia.gov/cfapps/ipdbproject/docs/sources.cfm","The data are assembled by EIA analysts from a large variety of published sources.  The International Energy Agency and the United Nations provide important source data.  These data are not based on EIA surveys.",n/a,http://www.eia.gov/cfapps/ipdbproject/docs/IPMNotes.html,"Energy Information Administration",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Short-Term Energy Outlook - Real Petroleum Prices","Provides Real gasoline pump prices on an annual basis back to 1919 and monthly prices for gasoline, heating oil, diesel fuel, and imported refiners acquistion cost of crude oil from January 1980 through the end of the forecast.  Monthly Real Petroleum Prices are computed by dividing the nominal price in a given month by the ratio of the Consumer Price Index (CPI) in that month to the CPI in the current STEO month, the ""base"" period.  Example:  The current base period for the August 2009 data is August 2009.    The base period for the annual data is the previous year, in this case is 2008. So the real annual prices are in 2008 dollars.  The base period for the annual data will be updated in January 2010.","real gasoline prices, real crude oil prices, real diesel fuel prices, oil price forecasts, diesel price projections, crude oil price forecasts, heating oil price projections, DOE, Department of Energy","8/11/2009; Updated monthly ","Department of Energy","Please contact the Energy Information Administration's POC about this.",,DOE-861,public,http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia878i.pdf,http://www.eia.doe.gov/emeu/steo/pub/fsheets/real_prices.xls,.XLS,,,U.S.,"Monthly Data updates",06/01/04,Monthly,,,,"Section 19. Energy and Utilities",http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia878i.pdf,Array,".331 MB",,,,"Energy Information Administration","Energy Information Administration, Department of Energy",eia-doe-gov,"Raw Data Catalog",Statistical,"<a href=""http://www.eia.doe.gov/emeu/steo/pub/fsheets/real_prices.html"">http://www.eia.doe.gov/emeu/steo/pub/fsheets/real_prices.html</a>",,"<a href=""http://www.eia.doe.gov/oiaf/forecasting.html"">http://www.eia.doe.gov/oiaf/forecasting.html</a>","<a href=""http://www.eia.doe.gov/emeu/steo/pub/fsheets/real_prices.html"">http://www.eia.doe.gov/emeu/steo/pub/fsheets/real_prices.html</a>",,"Monthly Prices",,"1919 - 1979: Bureau of Labor Statistics leaded regular,1980 - 1981: Bureau of Labor Statistics unleaded regular, 1982 -1994: Energy Information Administration (EIA) data extrapolated using BLS survey data, 1995 - Present: EIA Weekly Petroleum Status Report, weekly EIA-878 ""Motor Gasoline Price Survey""","<a href=""http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia878f.pdf"">http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia878f.pdf</a>","<a href=""http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia878i.pdf"">http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia878i.pdf</a>","Energy Information Administration. ",Yes,Yes,0,,,,,,,,,,,N,N,N,,
"Retail Gasoline Prices All Grades, Areas and Formulations","Weekly retail gasoline prices by grade and by formulation, by PADD and for selected states and cities.","gas prices, gasoline prices, gasoline grades, conventional gasoline prices, reformulated gasoline prices, retail prices, regular gasoline prices, midgrade gasoline prices, premium gasoline prices, weekly gasoline prices, energy","Updated each Monday week except on government holidays, when the data are released on Tuesday.","Department of Energy","Gina Pearson",gina.pearson@eia.doe.gov,DOE-1133,public,http://tonto.eia.doe.gov/oog/ftparea/wogirs/xls/pswrgvwall.xls,http://tonto.eia.doe.gov/oog/ftparea/wogirs/xls/pswrgvwall.xls," xls",,,U.S.,"Weekly data; back to 1990 for some series",1990,Weekly,,"U.S., PADD (Petroleum Administration for Defense District), selected states, selected cities",http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/sampling_error_report.html,"Section 19. Energy and Utilities",http://tonto.eia.doe.gov/dnav/pet/TblDefs/pet_pri_gnd_tbldef2.asp,Array,"1.79 MB",,,,"Energy Information Administration","Energy Information Administration, Department of Energy",eia-doe-gov,"Raw Data Catalog",Statistical,"http://tonto.eia.doe.gov/oog/ftparea/wogirs/xls/pswrgvwall.xls ",,http://www.eia.doe.gov/oil_gas/petroleum/info_glance/petroleum.html,http://tonto.eia.doe.gov/oog/info/gdu/gasdiesel.asp,202-586-6537,"Weekly Prices",,"The EIA-878 collects information on the retail cash price of self-serve, conventional and reformulated gasoline for all three grades of gasoline.   Respondents are companies that own retail motor gasoline stations.","http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia878f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia878i.pdf",http://tonto.eia.doe.gov/oog/ftparea/wogirs/xls/pswrgvwall.xls,"Energy Information Administration",Yes,Yes,1,,http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/sampling_methodology.html,http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/sampling_methodology.html,http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/sampling_methodology.html,http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/sampling_methodology.html,http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia878i.pdf,http://www.eia.doe.gov/oil_gas/petroleum/data_publications/wrgp/sampling_methodology.html,,,,N,N,N,,
"Company Level Petroleum Imports 2008","Data on imports of crude oil and/or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC by each importer of record. ","petroleum imports, gasoline imports, crude oil imports, diesel fuel imports, company imports,  residual fuel oil imports, jet fuel imports, oil company imports, energy","07/07/2009 ","Department of Energy","Gina Pearson ",gina.pearson@eia.doe.gov,DOE-1134,public,http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf,http://www.eia.doe.gov/pub/oil_gas/petroleum/data_publications/company_level_imports/historical/2008/data/impa08d.xls,XLS,,,"The 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC",2008,"01/01/1986 ",Monthly,,"Port of Entry Listed by State by City","http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf","Section 19. Energy and Utilities","http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf",Array,5.79,,,,"Energy Information Administration","Energy Information Administration, Department of Energy",eia-doe-gov,"Raw Data Catalog",Statistical,http://www.eia.doe.gov/pub/oil_gas/petroleum/data_publications/company_level_imports/historical/2008/data/impa08d.xls,,http://www.eia.doe.gov/oil_gas/natural_gas/info_glance/natural_gas.html,http://www.eia.doe.gov/oil_gas/petroleum/data_publications/company_level_imports/cli_historical.html,202-586-6537,"Barrels of crude oil and petroleum product imported.",http://www.eia.doe.gov/oil_gas/petroleum/data_publications/company_level_imports/cli_explanation.html,"Form EIA-814 collects data on imports of crude oil and/or petroleum products. Data are filed by each importer of record who imports crude oil or petroleum products into the 50 States, the District of Columbia, Puerto Rico, the Virgin Islands other U.S. possessions, and Foreign Trade Zones located in the 50 States and DC; and from Puerto Rico, the Virgin Islands, and U.S. possessions into the 50 States and the District of Columbia. NOTE:  Notice:  Ongoing analysis of imports data to the Energy Information Administration reveals that some imports are not correctly reported on Form EIA-814 ""Monthly Imports Report"". Contact with the companies provides sufficient information for EIA to include these imports in the data even though they have not provided complete reports on Form EIA-814. Estimates are included in aggregate data, but the estimates are not included in the file of Company-Level Imports. Therefore, summation of volumes for PAD Districts 1-5 from the Company-Level Imports will not equal aggregate import","http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf",http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf,"Energy Information Administration",Yes,Yes,1,,"http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf","http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf","http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf","http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf","http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf","http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf",,"http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf","http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia814i.pdf",N,N,N,,
"Alternative Transportation Fuels (ATF) and Alternative Fueled Vehicles (AFV) 2007","Data on alternative fueled vehicles in use and alternate transportation fuel consumption.","alternative fuels, alternative transportation fuels, AFV, alternative fueled vehicles, ATF, biodiesel, compressed natural gas, CNG, electric, EVC, ethanol,  E95, E85, methanol, hydrogen, HYD, liquefied natural gas, LNG, liquefied petroleum gas, LPG, dedicated, non-hybrid, non-dedicated, hybrid, energy","April 2009","Department of Energy","Gina Pearson",gina.pearson@eia.doe.gov,DOE-1135,public,http://www.eia.doe.gov/cneaf/alternate/page/forms/codes886.pdf,http://www.eia.doe.gov/cneaf/alternate/page/atftables/afvs2007.xls,XLS,,,"All 50 States and the District of Columbia",2007,"March 2008",Annual,,State,,"Section 19. Energy and Utilities",http://www.eia.doe.gov/cneaf/alternate/page/atftables/est_method.pdf,Array,0.262,,,,"Energy Information Administration","Energy Information Administration, Department of Energy",eia-doe-gov,"Raw Data Catalog",Statistical,http://www.eia.doe.gov/cneaf/alternate/page/atftables/afv_hist_data.html,,http://www.eia.doe.gov/fuelrenewable.html,http://www.eia.doe.gov/cneaf/alternate/page/atftables/afv_hist_data.html,202-586-6537,"Number of dedicated, non-dedicated, non-hybrid, and hybrid, heavy duty, light duty, medium duty vehicles; amuont of fuel consumed in thousand gasoline-equivalent gallons",,"Energy Information Administration, Form EIA-886 Annual Survey of Alternative Fueled Vehicles",http://www.eia.doe.gov/cneaf/alternate/page/forms/form886.pdf,http://www.eia.doe.gov/cneaf/alternate/page/forms/codes886.pdf,"Energy Information Administration",Yes,Yes,1,,http://www.eia.doe.gov/cneaf/alternate/page/atftables/est_method.pdf,http://www.eia.doe.gov/cneaf/alternate/page/atftables/afv_hist_data.html,"http://www.eia.doe.gov/cneaf/alternate/page/atftables/afv_hist_data.html ","http://www.eia.doe.gov/cneaf/alternate/page/atftables/afv_hist_data.html ",http://www.eia.doe.gov/cneaf/alternate/page/forms/form886instr.pdf,http://www.eia.doe.gov/cneaf/alternate/page/forms/form886instr.pdf,,,,N,N,N,,
"Weekly Retail On-Highway Diesel Prices","Retail cash price of self-serve, motor vehicle No. 2 diesel fuel sold for on-highway use.  ","diesel, diesel fuel, diesel prices, regional diesel prices, Weekly On-Highway Diesel Prices, retail prices","Updated each Monday week except on government holidays, when the data are released on Tuesday.","Department of Energy","Gina Pearson, EIA POC",gina.pearson@eia.gov,DOE-1136,public,http://www.eia.gov/pub/oil_gas/petroleum/survey_forms/eia888i.pdf,http://www.eia.gov/oog/ftparea/wogirs/xls/psw18vwall.xls,XLS,,,U.S.,"Weekly data; back to March 1994","March 21, 1994
",Weekly,,"U.S., regional, and California",http://www.eia.gov/oog/info/wohdp/Sampling_Error.html,"Section 19. Energy and Utilities",http://www.eia.gov/oog/info/wohdp/diesel_methodology.html,Array,".184 Mb",,,,"Energy Information Administration","Energy Information Administration, Department of Energy",eia-doe-gov,"Raw Data Catalog",Statistical,http://www.eia.gov/oog/ftparea/wogirs/xls/psw18vwall.xls,,http://www.eia.gov/petroleum/,http://www.eia.gov/oog/info/wohdp/diesel.asp,202-586-6537,Establishment,,"The EIA-888 collects information through:  Computer Assisted Telephone Interview System, fax, email, and web","http://www.eia.gov/pub/oil_gas/petroleum/survey_forms/eia888f.pdf, http://www.eia.doe.gov/pub/oil_gas/petroleum/survey_forms/eia888i.pdf",http://www.eia.gov/pub/oil_gas/petroleum/survey_forms/eia888i.pdf,"Energy Information Administration",Yes,Yes,1,,http://www.eia.gov/oog/info/wohdp/diesel_methodology.html,http://www.eia.gov/oog/info/wohdp/diesel_methodology.html,http://www.eia.gov/oog/info/wohdp/diesel_methodology.html,http://www.eia.gov/oog/info/wohdp/diesel_methodology.html,http://www.eia.gov/pub/oil_gas/petroleum/survey_forms/eia888i.pdf,,,,,N,N,N,,
